BM_IgA_1	BM_IgA_2	BM_IgA_3	BM_IgA_4	BM_IgG_1	BM_IgG_2	BM_IgG_3	BM_IgG_4	BM_IgM_1	BM_IgM_3	BM_IgM_4
Gm48248	3	3	6	3	8	3	0	0	4	5	2
Gm48249	4	0	2	0	0	0	0	2	0	0	0
Gm4825	0	0	0	0	0	0	1	0	0	0	0
Gm48250	0	0	1	0	0	0	0	1	0	1	1
Gm48251	0	0	0	0	0	0	0	0	0	0	0
Gm48252	0	0	0	0	0	0	0	0	0	0	0
Gm48253	0	1	0	0	0	0	0	0	0	0	1
Gm48254	7	0	0	0	0	1	1	0	4	0	0
Gm48255	0	0	0	0	0	0	0	0	0	0	0
Gm48256	0	0	0	0	0	0	0	0	0	1	0
Gm48257	0	1	0	0	0	0	0	0	0	0	0
Gm48258	0	0	0	0	0	0	0	0	0	0	0
Gm48259	0	0	0	0	0	0	0	0	0	0	0
Gm48260	0	1	0	1	0	2	1	0	1	2	0
Gm48261	0	1	1	1	1	1	0	0	2	1	1
Gm48262	2	0	2	1	0	1	0	0	2	0	0
Gm48263	0	0	0	0	0	1	1	0	1	0	1
Gm48264	1	0	0	0	0	0	0	1	0	1	1
Gm48265	0	1	0	0	0	0	0	0	0	0	0
Gm48266	0	0	1	0	0	0	0	0	0	0	0
Gm48267	0	0	3	0	2	3	1	0	0	4	0
Gm48268	0	0	0	0	0	0	0	0	0	0	1
Gm48269	0	2	0	0	0	0	0	0	0	0	0
Gm48270	0	0	1	1	0	0	0	1	0	0	0
Gm48271	0	1	0	0	0	0	2	2	0	1	0
Gm48272	3	0	0	0	0	1	0	1	1	4	1
Gm48273	3	3	1	1	1	0	0	1	1	1	7
Gm48274	15	21	11	7	2	14	8	10	5	14	3
Gm48275	0	0	0	0	16	0	0	0	0	0	0
Gm48276	0	0	0	0	0	0	0	4	3	0	1
Gm48277	0	1	0	0	2	1	0	0	17	9	12
Gm48278	1	0	1	0	0	0	0	0	2	0	0
Gm48279	0	0	0	0	0	0	0	0	0	0	0
Gm4828	2	0	0	0	2	1	0	1	1	0	1
Gm48280	0	0	0	0	0	0	0	0	0	0	0
Gm48281	0	0	0	0	0	0	0	0	0	4	0
Gm48282	1	0	0	0	0	0	0	0	0	0	0
Gm48283	11	15	5	13	0	0	3	8	13	9	0
Gm48284	5	1	10	0	2	2	0	7	0	3	12
Gm48285	1	0	6	0	0	0	0	2	4	0	1
Gm48286	0	0	1	0	0	0	0	0	1	2	0
Gm48287	0	0	0	0	0	0	0	1	2	0	0
Gm48288	0	1	2	0	2	0	0	0	1	0	0
Gm48289	0	0	0	0	0	0	0	0	0	0	0
Gm4829	0	0	0	0	0	0	0	0	0	0	0
Gm48290	0	0	0	0	0	0	0	0	2	2	0
Gm48291	1	0	0	0	0	0	1	0	0	0	2
Gm48292	0	0	0	0	0	0	0	1	0	0	0
Gm48293	0	1	1	1	1	2	0	0	0	3	1
Gm48294	0	0	0	0	0	0	0	0	0	0	0
Gm48295	4	0	0	0	0	0	0	0	0	0	0
Gm48296	10	10	6	7	9	16	10	19	13	15	18
Gm48297	1	1	0	0	2	2	0	0	1	2	0
Gm48298	1	0	2	2	4	5	3	3	1	3	0
Gm48299	0	0	0	0	0	0	0	0	0	0	0
Gm48300	0	0	0	0	0	0	0	0	0	0	0
Gm48301	1	0	0	0	0	2	0	0	0	0	0
Gm48302	163	218	252	235	139	174	110	273	236	232	190
Gm48303	2	10	4	1	1	0	1	0	0	0	34
Gm48304	0	0	0	0	0	0	0	0	0	0	0
Gm48305	0	0	0	0	0	0	0	1	0	0	1
Gm48306	0	0	0	0	0	0	0	0	0	0	0
Gm48307	0	0	1	0	0	1	0	0	0	0	0
Gm48308	0	1	2	0	3	1	0	0	1	1	1
Gm48309	0	0	0	2	1	0	0	0	1	2	2
Gm4831	0	0	0	0	0	0	0	0	0	0	0
Gm48310	0	0	0	0	0	0	0	0	0	0	0
Gm48311	5	4	3	3	3	1	0	3	1	1	2
Gm48312	0	0	0	0	0	0	2	0	1	2	0
Gm48313	2	0	1	1	0	1	0	0	2	0	0
Gm48314	8	8	19	3	3	7	5	1	13	15	3
Gm48315	0	0	0	0	0	0	0	0	0	0	0
Gm48316	0	0	1	0	0	0	0	0	0	0	0
Gm48317	0	0	0	0	0	0	0	0	0	0	0
Gm48318	0	0	0	0	0	0	0	0	0	0	0
Gm48319	0	0	0	0	0	0	0	0	0	0	0
Gm4832	0	0	1	0	2	3	1	0	2	2	3
Gm48320	0	0	2	0	0	0	0	0	0	0	0
Gm48321	0	0	4	0	0	1	1	0	0	1	1
Gm48322	0	0	0	0	0	0	0	0	0	0	0
Gm48323	0	0	0	0	0	0	0	0	0	0	0
Gm48324	0	0	0	0	0	0	0	0	0	0	0
Gm48325	0	0	0	1	0	0	1	0	0	0	0
Gm48326	0	0	0	0	0	0	0	0	0	0	0
Gm48327	0	0	0	0	0	0	2	0	0	0	0
Gm48328	1	1	1	0	3	2	0	1	1	0	0
Gm48329	1	0	0	0	0	0	0	0	0	0	0
Gm4833	2	1	5	0	1	4	1	0	3	2	3
Gm48330	0	0	1	0	0	0	0	0	0	0	0
Gm48331	0	0	0	0	0	0	0	0	0	0	0
Gm48332	2	4	1	0	1	1	4	1	2	1	1
Gm48333	0	0	1	0	0	0	0	0	0	0	0
Gm48334	1	1	2	1	0	1	0	1	4	1	2
Gm48335	1	1	4	1	3	1	0	2	1	5	0
Gm48336	1	0	0	0	0	0	0	0	1	0	0
Gm48337	0	1	0	0	0	0	0	0	0	0	0
Gm48338	0	0	0	0	0	1	0	0	0	0	1
Gm48339	0	1	0	0	0	0	0	0	0	0	0
Gm4834	1	0	0	0	0	0	1	0	0	2	3
Gm48340	0	1	0	0	2	0	0	1	0	0	0
Gm48341	0	0	0	0	0	0	0	0	0	0	0
Gm48342	0	0	4	0	0	3	0	7	3	0	4
Gm48343	0	0	0	0	0	0	0	0	0	0	0
Gm48344	0	1	0	0	0	0	0	0	0	0	0
Gm48345	0	0	0	0	0	0	0	0	0	0	0
Gm48346	0	0	0	1	0	1	1	0	0	0	1
Gm48347	0	0	0	0	0	0	0	0	0	0	0
Gm48348	1	0	3	1	0	3	2	2	0	0	1
Gm48349	1	0	1	0	0	0	0	0	2	1	0
Gm4835	0	2	2	0	1	0	0	0	1	0	0
Gm48350	0	0	0	1	2	0	0	0	0	0	0
Gm48351	0	0	0	0	0	0	0	0	0	0	0
Gm48352	0	1	0	0	0	0	0	0	0	0	0
Gm48353	20	14	24	20	2	0	0	3	3	0	1
Gm48354	0	0	0	0	0	0	0	0	0	0	0
Gm48355	0	0	0	0	0	0	0	0	0	0	0
Gm48356	0	1	0	0	1	2	1	0	1	1	1
Gm48357	1	0	2	0	1	2	0	0	0	3	0
Gm48358	0	0	0	0	1	0	0	1	0	0	2
Gm48359	0	0	0	0	0	0	0	0	0	0	0
Gm48360	0	0	1	0	0	0	0	0	0	0	0
Gm48361	0	0	0	0	0	0	0	0	0	0	0
Gm48362	3	10	8	6	11	3	9	14	21	28	24
Gm48363	1	0	1	0	3	2	3	1	8	4	4
Gm48365	0	0	0	0	0	0	0	0	1	0	0
Gm48366	0	1	1	0	0	0	1	0	1	0	1
Gm48367	0	0	0	0	0	0	0	0	0	0	0
Gm48368	0	1	0	0	0	0	0	0	2	1	0
Gm48369	0	1	0	0	1	2	2	1	6	0	2
Gm4837	0	2	0	0	1	0	0	3	1	2	0
Gm48370	0	1	0	0	2	3	2	2	18	21	6
Gm48371	0	0	0	0	0	0	0	0	0	0	0
Gm48372	0	1	1	1	1	0	0	0	0	3	2
Gm48373	0	0	0	0	0	0	0	1	0	0	0
Gm48374	5	7	10	4	1	7	7	14	9	13	7
Gm48375	13	20	8	9	6	8	8	14	18	10	7
Gm48376	0	0	0	0	0	0	0	0	1	0	0
Gm48377	1	2	0	1	4	0	3	2	3	2	1
Gm48378	0	0	0	0	0	0	0	0	0	0	1
Gm48379	0	0	0	0	0	0	0	0	0	0	0
Gm48380	1	0	0	0	0	0	0	0	0	0	0
Gm48381	0	2	1	2	2	1	1	3	3	4	1
Gm48382	11	6	7	10	13	10	14	5	28	21	4
Gm48383	0	0	2	0	0	0	3	0	2	1	0
Gm48384	0	0	0	0	0	0	0	0	0	0	0
Gm48385	0	0	0	0	0	0	0	0	0	1	1
Gm48386	0	0	0	0	0	0	0	0	0	0	0
Gm48387	0	0	0	0	0	0	0	1	0	0	0
Gm48388	0	0	0	0	0	0	0	0	0	0	0
Gm48389	0	0	0	0	0	0	0	0	0	0	0
Gm4839	0	0	1	1	0	0	0	0	0	0	0
Gm48390	0	0	0	0	0	0	0	0	0	0	0
Gm48391	2	1	1	1	0	0	0	1	0	8	1
Gm48392	0	0	0	0	0	0	0	0	0	0	0
Gm48393	1	1	0	0	0	0	1	1	0	0	0
Gm48394	0	0	0	0	0	0	0	0	0	0	0
Gm48395	0	0	0	0	0	1	0	0	0	0	0
Gm48396	0	0	0	0	0	0	0	0	0	0	0
Gm48397	0	1	0	0	0	0	1	0	0	1	0
Gm48398	0	0	0	0	0	0	0	0	0	1	0
Gm48399	1	0	1	0	0	0	0	0	0	0	0
Gm4840	0	2	4	2	0	0	0	1	0	2	2
Gm48400	0	0	0	0	1	0	0	0	0	0	0
Gm48401	2	0	0	0	0	1	0	0	0	3	0
Gm48402	0	0	0	0	0	0	0	1	0	0	0
Gm48403	0	0	0	0	0	0	0	0	0	0	0
Gm48404	0	0	0	0	0	0	0	0	0	0	0
Gm48405	5	2	4	0	5	1	1	2	2	0	0
Gm48406	0	0	0	0	0	0	0	0	0	0	0
Gm48407	0	0	0	0	0	0	0	0	0	0	0
Gm48408	0	0	0	1	0	0	0	1	0	0	0
Gm48409	0	0	0	0	0	0	0	0	0	0	0
Gm4841	0	1	0	0	0	0	0	0	0	0	0
Gm48410	0	0	0	0	0	0	0	0	0	0	0
Gm48411	0	0	0	0	0	0	0	0	0	0	0
Gm48412	0	1	0	0	1	0	0	0	0	0	0
Gm48413	0	0	0	0	0	0	0	0	0	0	0
Gm48414	0	0	0	0	0	0	0	0	0	0	0
Gm48415	0	0	0	0	0	0	0	0	0	0	0
Gm48416	1	1	0	0	0	1	0	2	0	0	0
Gm48417	0	0	0	0	0	0	0	0	0	0	0
Gm48418	1	1	0	3	0	0	1	0	2	2	0
Gm48419	0	0	1	0	0	0	0	0	0	0	0
Gm4842	1	0	0	0	0	0	1	0	0	1	1
Gm48420	0	0	0	0	1	0	3	0	0	0	0
Gm48421	0	0	0	0	0	0	0	0	0	0	0
Gm48422	0	0	1	0	0	0	0	0	0	0	0
Gm48423	0	0	1	0	0	0	0	0	0	0	0
Gm48424	0	0	0	0	0	0	0	0	0	0	0
Gm48425	0	0	0	0	0	0	1	1	0	1	0
Gm48426	0	0	0	0	0	0	0	0	0	0	0
Gm48427	0	3	0	0	3	2	0	1	31	13	2
Gm48428	0	0	0	0	0	0	0	0	0	0	0
Gm48429	0	0	0	0	0	0	0	0	0	0	0
Gm48430	3	0	1	4	0	0	2	1	3	0	0
Gm48431	0	1	0	0	0	0	0	0	0	0	0
Gm48432	0	1	2	0	0	1	1	1	0	1	3
Gm48433	0	0	0	0	0	0	0	0	1	0	0
Gm48434	0	1	1	0	0	0	0	0	0	0	0
Gm48435	0	1	8	0	1	0	1	0	0	1	0
Gm48436	0	0	0	0	0	0	0	0	0	0	0
Gm48437	0	2	0	1	0	0	0	0	0	0	0
Gm48438	5	1	9	2	2	2	7	4	7	4	3
Gm48439	2	4	3	3	0	0	2	1	6	4	1
Gm48440	0	0	0	0	0	0	1	0	4	0	0
Gm48441	1	0	0	0	0	0	0	0	0	0	0
Gm48442	16	10	13	10	9	16	5	7	23	25	4
Gm48443	3	0	1	0	0	2	0	2	0	0	0
Gm48444	2	0	0	0	0	0	0	0	0	0	0
Gm48445	2	0	2	0	1	0	0	0	0	0	2
Gm48446	0	0	0	0	0	0	0	0	0	0	0
Gm48447	0	0	0	0	0	0	1	0	0	0	0
Gm48448	0	0	0	0	0	0	0	0	1	0	0
Gm48449	1	0	0	0	1	0	0	0	0	0	0
Gm4845	0	1	0	0	0	0	0	0	0	0	0
Gm48450	0	8	0	0	0	0	0	0	0	0	0
Gm48451	0	0	0	0	0	0	0	0	0	0	0
Gm48452	1	0	0	0	0	0	0	0	0	0	0
Gm48453	1	2	0	0	0	0	0	0	0	0	0
Gm48454	0	0	0	0	0	0	0	1	0	0	0
Gm48455	1	0	2	1	2	1	1	2	0	1	2
Gm48456	0	0	0	0	0	0	0	0	0	0	0
Gm48457	0	0	0	0	0	2	0	0	0	0	0
Gm48458	0	0	0	0	0	0	0	0	0	0	0
Gm48459	0	0	0	0	0	0	0	0	0	0	0
Gm4846	0	0	0	0	0	2	0	0	0	0	1
Gm48460	0	0	0	0	0	0	0	0	0	0	0
Gm48461	0	0	0	0	0	0	0	0	0	0	0
Gm48462	0	0	0	0	0	0	0	0	0	0	0
Gm48463	0	0	0	0	0	0	0	0	0	0	0
Gm48464	0	0	0	0	0	0	0	0	0	0	0
Gm48465	0	0	0	0	0	0	0	0	2	0	0
Gm48466	0	0	0	0	0	0	0	0	0	0	0
Gm48467	0	0	0	0	0	0	0	0	0	0	0
Gm48468	0	0	0	0	0	0	0	0	0	0	0
Gm48469	0	0	0	0	0	0	0	0	0	0	0
Gm4847	1	1	2	1	0	1	1	3	0	1	0
Gm48470	0	0	0	0	1	0	0	0	0	0	0
Gm48471	0	0	1	0	0	2	0	0	0	0	0
Gm48472	0	0	0	0	0	0	0	0	2	0	0
Gm48473	0	0	0	0	0	0	0	0	0	0	0
Gm48474	0	0	0	0	0	1	1	0	0	0	0
Gm48475	0	0	0	0	0	0	0	0	0	0	0
Gm48476	0	0	0	0	0	0	0	0	0	0	0
Gm48477	0	0	0	0	0	0	0	0	0	0	0
Gm48478	3	3	2	3	0	3	1	3	9	1	5
Gm48479	0	0	0	0	0	0	0	0	0	0	0
Gm48480	0	0	0	0	0	0	1	0	0	0	0
Gm48481	50	0	0	0	6	0	2	0	0	0	0
Gm48482	3	0	0	1	0	0	0	0	1	2	0
Gm48483	0	1	0	0	0	0	0	0	0	0	0
Gm48484	0	0	0	0	0	0	1	0	0	0	0
Gm48485	1	0	2	1	0	0	1	0	0	3	2
Gm48486	0	0	0	0	0	1	0	1	0	1	2
Gm48487	0	0	0	0	0	0	0	0	0	1	0
Gm48488	1	3	2	0	0	0	0	0	1	1	1
Gm48489	0	0	0	0	0	0	0	0	0	0	0
Gm4849	1	8	8	6	5	1	7	4	6	6	9
Gm48490	0	0	0	0	0	0	0	0	0	0	0
Gm48491	0	1	0	0	0	0	0	0	0	0	0
Gm48492	0	0	0	0	0	0	0	0	0	0	0
Gm48493	0	0	0	0	0	0	0	0	0	0	0
Gm48494	0	0	0	0	0	0	0	0	0	0	0
Gm48495	2	1	10	3	1	0	0	1	4	3	2
Gm48496	0	0	0	0	0	0	0	0	0	0	0
Gm48497	0	0	0	0	0	0	0	0	0	0	0
Gm48498	0	0	1	0	0	0	1	2	4	0	0
Gm48499	0	0	0	0	0	1	0	0	0	0	0
Gm4850	0	1	0	0	1	0	0	1	0	0	1
Gm48500	0	0	0	0	0	0	0	0	1	0	0
Gm48501	1	1	0	0	0	0	0	0	0	0	0
Gm48502	0	0	1	0	0	0	0	0	0	0	0
Gm48503	0	0	0	0	0	0	0	0	0	0	0
Gm48504	3	1	4	1	0	2	2	2	1	0	1
Gm48505	3	1	0	0	1	0	0	0	0	9	2
Gm48506	0	0	0	0	0	0	0	0	0	0	0
Gm48507	0	0	0	0	0	0	0	0	0	1	0
Gm48508	0	0	0	2	0	1	1	0	0	0	0
Gm48509	0	0	0	0	0	0	0	0	0	0	0
Gm48510	3	9	8	1	3	2	1	4	1	2	2
Gm48511	0	1	0	0	0	0	0	0	0	0	0
Gm48512	0	0	0	0	0	6	0	0	0	0	1
Gm48513	0	0	0	0	0	0	0	0	0	0	0
Gm48514	0	0	0	0	0	0	0	0	0	0	0
Gm48515	0	0	0	0	0	1	0	0	0	0	0
Gm48516	0	0	0	0	0	0	0	0	0	0	0
Gm48517	0	0	0	0	0	0	0	0	0	0	0
Gm48518	0	1	0	1	0	0	0	0	1	0	1
Gm48519	0	0	0	0	1	0	0	0	0	0	0
Gm4852	1	2	0	0	1	0	1	0	1	1	1
Gm48520	0	0	0	0	0	0	0	0	0	0	0
Gm48521	0	1	0	0	1	0	3	1	2	1	0
Gm48522	0	0	0	0	0	0	0	0	0	0	0
Gm48523	0	0	0	0	0	0	0	0	0	0	0
Gm48524	0	0	0	0	0	0	0	0	0	0	0
Gm48525	0	0	0	0	0	0	0	0	0	0	0
Gm48526	0	0	0	0	0	0	0	0	0	0	0
Gm48527	0	0	0	0	0	0	0	0	0	0	0
Gm48528	0	0	0	0	0	0	0	0	0	0	0
Gm48529	8	19	16	20	7	21	10	12	13	28	17
Gm4853	1	3	0	0	0	1	4	1	0	3	0
Gm48530	0	0	0	0	0	0	0	0	0	0	0
Gm48531	0	0	0	0	0	0	0	0	0	0	0
Gm48532	0	0	0	0	1	0	1	1	0	0	0
Gm48533	0	0	0	0	0	0	0	0	0	0	0
Gm48534	0	0	1	0	0	0	0	0	0	0	0
Gm48535	1	46	9	3	2	0	2	6	2	1	0
Gm48536	2	0	0	1	2	1	0	0	1	2	0
Gm48537	0	0	0	0	0	0	0	0	0	0	0
Gm48538	0	1	1	0	0	0	0	0	0	0	0
Gm48539	0	0	0	0	0	0	0	0	0	0	0
Gm4854	0	0	0	0	0	0	0	0	0	2	0
Gm48540	0	0	0	0	0	0	0	0	0	0	0
Gm48541	0	0	1	2	0	0	0	3	0	2	0
Gm48542	0	2	2	0	1	0	1	0	3	2	1
Gm48543	0	1	0	0	1	1	0	0	1	0	1
Gm48544	5	0	0	1	1	3	3	4	3	2	1
Gm48545	0	2	3	1	1	2	0	5	0	0	2
Gm48546	0	0	0	0	0	0	1	0	0	0	0
Gm48547	0	1	0	0	0	0	0	0	0	0	0
Gm48548	0	0	0	0	0	1	0	0	0	0	0
Gm48549	0	0	0	0	0	0	0	0	0	2	0
Gm4855	0	0	0	0	0	0	0	1	1	2	0
Gm48550	2	0	3	6	2	0	3	5	6	5	0
Gm48551	10	4	21	16	5	6	4	11	10	12	5
Gm48552	0	0	0	0	3	0	0	0	0	0	0
Gm48553	1	0	0	1	0	0	1	0	0	0	1
Gm48554	0	0	0	0	0	0	0	0	0	0	0
Gm48555	0	0	0	0	0	0	0	0	0	0	1
Gm48556	0	0	0	0	0	0	0	0	0	0	0
Gm48557	1	0	1	0	0	1	1	0	1	1	0
Gm48558	0	0	0	0	0	0	0	0	1	1	0
Gm48559	0	0	0	0	0	0	0	0	0	0	0
Gm4856	0	0	0	0	0	1	0	0	0	0	0
Gm48560	0	0	0	0	0	0	0	0	0	0	0
Gm48561	0	0	0	0	0	0	0	0	0	0	0
Gm48562	21	19	28	26	28	16	25	24	52	36	21
Gm48563	0	1	0	0	0	0	0	0	0	0	0
Gm48564	1	3	0	0	1	0	0	0	0	1	0
Gm48565	1	1	4	0	2	2	1	3	2	3	0
Gm48566	1	1	1	1	1	0	0	2	1	1	0
Gm48567	0	0	0	0	0	0	0	0	0	0	0
Gm48568	0	0	0	0	0	0	0	0	0	0	0
Gm48569	0	0	1	0	1	0	1	1	0	3	1
Gm4857	1	3	2	3	3	1	2	1	1	2	1
Gm48570	2	8	2	2	2	1	0	1	1	2	0
Gm48571	0	0	0	0	0	0	0	0	0	0	0
Gm48572	0	0	0	0	0	0	0	0	0	0	0
Gm48573	0	0	0	0	0	0	0	0	0	0	0
Gm48574	1	0	0	0	0	0	0	2	0	0	0
Gm48575	0	0	0	0	0	0	1	0	0	0	0
Gm48576	0	0	0	0	0	0	0	0	0	0	0
Gm48577	0	0	0	0	0	0	1	0	0	0	0
Gm48578	0	0	0	0	0	0	0	0	0	0	0
Gm48579	0	0	0	0	0	0	0	0	1	0	0
Gm48580	0	0	0	1	1	1	0	0	0	1	0
Gm48581	1	1	0	0	0	0	1	1	0	0	0
Gm48582	0	0	1	0	1	6	0	1	1	4	1
Gm48583	4	3	4	7	2	1	3	1	2	7	7
Gm48584	0	0	0	0	0	0	0	0	0	8	0
Gm48585	9	8	8	3	6	5	1	1	7	3	3
Gm48586	1	3	8	4	2	0	4	2	2	5	3
Gm48587	0	0	0	0	0	0	1	0	0	0	0
Gm48588	0	0	0	0	0	0	0	0	0	0	0
Gm48589	0	0	0	0	0	0	0	0	0	0	0
Gm4859	4	6	2	2	3	1	3	2	5	2	3
Gm48590	0	0	0	0	0	0	0	0	0	0	0
Gm48591	1	0	0	1	2	2	1	3	0	5	0
Gm48592	0	0	0	0	0	0	0	0	0	0	0
Gm48593	2	1	2	1	0	0	0	0	0	0	0
Gm48594	0	0	0	0	0	0	0	0	0	0	0
Gm48595	0	0	0	0	0	0	0	0	0	0	0
Gm48596	0	0	0	0	0	0	0	1	0	0	0
Gm48597	0	0	0	0	0	0	0	0	0	0	0
Gm48598	0	0	0	0	0	0	0	0	0	0	0
Gm48599	0	0	0	0	0	0	0	0	0	0	0
Gm4860	0	0	1	0	0	0	0	0	0	0	0
Gm48600	32	26	22	29	12	9	6	13	15	14	10
Gm48601	0	2	1	0	1	0	0	1	0	1	0
Gm48602	0	0	0	2	0	1	0	0	1	1	4
Gm48603	0	0	2	0	1	0	0	0	0	0	0
Gm48604	6	10	5	4	0	9	9	4	4	9	6
Gm48605	0	0	1	2	0	0	1	0	0	0	0
Gm48606	0	1	1	0	1	0	1	0	3	1	1
Gm48607	0	0	0	0	1	2	1	1	2	2	1
Gm48608	0	0	1	0	0	0	0	0	0	0	0
Gm48609	3	2	1	1	1	4	0	0	1	1	0
Gm4861	0	0	0	0	0	0	0	0	0	0	0
Gm48610	0	0	1	0	0	1	0	0	0	0	0
Gm48611	8	0	0	3	0	1	2	4	9	8	24
Gm48612	0	2	0	0	0	0	0	0	0	0	0
Gm48613	0	1	0	1	0	0	0	1	0	1	0
Gm48614	0	0	0	0	0	0	0	0	0	0	0
Gm48615	0	0	0	0	0	0	0	0	0	0	0
Gm48616	0	0	0	0	0	0	0	0	1	0	0
Gm48617	0	0	0	0	0	0	0	0	1	0	0
Gm48618	0	0	0	0	0	0	0	0	0	0	0
Gm48619	1	2	1	1	0	0	0	1	0	0	0
Gm4862	0	0	4	0	0	0	0	0	0	0	0
Gm48620	0	0	1	1	1	0	0	0	0	1	1
Gm48621	5	9	3	6	6	4	1	3	4	4	2
Gm48622	4	1	0	2	0	0	0	3	0	0	0
Gm48623	0	0	0	0	1	0	0	1	3	6	0
Gm48624	3	1	0	1	0	0	0	1	0	1	1
Gm48625	0	0	0	0	0	0	0	0	0	0	0
Gm48626	0	0	0	1	0	0	0	1	0	0	0
Gm48627	5	10	17	14	6	16	12	6	9	4	16
Gm48628	0	0	0	0	0	0	0	0	0	0	0
Gm48629	0	0	0	0	0	0	0	0	0	0	0
Gm4863	0	0	1	0	0	0	0	1	1	2	2
Gm48630	0	0	0	0	0	0	0	2	0	0	0
Gm48631	0	1	0	0	0	2	0	0	1	0	0
Gm48632	3	0	3	2	3	3	3	7	2	1	1
Gm48633	0	0	0	0	0	0	0	1	0	0	0
Gm48634	0	0	0	0	0	0	0	0	0	1	0
Gm48635	0	0	0	0	0	0	0	0	0	0	0
Gm48636	0	0	0	0	0	0	0	0	0	0	0
Gm48637	0	0	0	0	0	0	0	0	0	0	0
Gm48638	0	0	0	0	0	0	0	0	0	0	0
Gm48639	1	0	1	0	0	0	4	1	3	5	1
Gm4864	0	1	0	0	0	0	0	0	0	0	0
Gm48640	0	0	0	0	0	0	0	0	1	0	0
Gm48641	1	3	0	0	0	0	0	0	0	2	0
Gm48642	0	0	0	0	0	0	0	0	1	1	0
Gm48643	0	0	0	0	0	0	0	0	0	0	0
Gm48644	0	0	0	0	0	0	0	0	0	0	0
Gm48645	0	0	0	0	0	0	0	0	0	0	0
Gm48646	1	1	0	0	0	0	0	0	0	0	1
Gm48647	0	0	0	0	0	0	0	0	0	0	0
Gm48648	0	0	0	0	0	0	0	1	0	1	0
Gm48649	0	0	0	0	0	0	0	0	0	0	0
Gm4865	1	0	1	0	1	0	1	1	2	1	0
Gm48650	0	0	0	0	0	0	0	0	0	0	0
Gm48651	0	1	0	0	0	0	0	0	0	0	0
Gm48652	0	0	0	0	0	0	0	0	0	0	0
Gm48653	1	6	1	2	0	1	1	0	2	0	0
Gm48654	1	1	0	0	0	0	0	0	0	0	0
Gm48655	5	4	0	2	4	0	0	0	1	2	2
Gm48656	0	0	0	0	0	0	0	0	0	0	0
Gm48657	24	13	18	19	14	8	10	12	18	13	13
Gm48658	0	1	1	0	0	0	0	0	0	0	0
Gm48659	1	0	0	1	0	0	0	0	0	0	0
Gm4866	0	1	0	0	0	0	0	0	0	0	1
Gm48660	0	0	0	0	0	0	0	0	0	0	0
Gm48661	0	0	0	0	0	0	0	1	0	1	1
Gm48662	14	10	17	6	8	2	30	9	9	7	8
Gm48663	0	0	0	0	0	0	0	0	0	4	0
Gm48664	0	0	0	0	0	1	0	0	0	0	0
Gm48665	28	22	21	19	19	18	8	1	22	23	6
Gm48666	0	0	0	0	0	0	0	0	0	0	0
Gm48667	0	0	0	0	0	0	0	0	0	0	0
Gm48668	0	0	0	0	0	0	0	0	0	0	0
Gm48669	0	0	0	0	0	0	0	0	0	0	0
Gm48670	0	0	0	0	0	0	0	0	0	0	1
Gm48671	1	1	0	1	0	0	0	1	0	0	0
Gm48672	0	0	0	0	0	0	1	0	0	18	0
Gm48673	8	4	1	2	2	4	1	7	0	6	4
Gm48674	0	0	1	0	0	0	0	0	0	0	0
Gm48675	0	0	0	0	0	0	0	0	0	0	0
Gm48676	1	0	0	0	2	0	0	0	2	1	1
Gm48677	0	0	1	0	0	0	0	0	0	0	0
Gm48678	10	10	20	23	24	4	12	22	25	56	14
Gm48679	0	0	0	0	0	0	0	0	0	0	0
Gm4868	0	0	0	0	0	0	0	2	0	0	0
Gm48680	0	0	0	0	0	0	0	0	0	0	0
Gm48681	0	0	0	1	1	1	0	0	1	0	0
Gm48682	0	0	0	0	0	0	0	0	0	0	0
Gm48683	0	2	1	2	3	0	5	2	1	4	0
Gm48684	0	0	0	1	0	0	0	0	0	1	0
Gm48685	0	0	0	0	0	0	0	0	0	0	0
Gm48686	0	0	0	0	0	0	0	0	0	0	0
Gm48687	0	0	0	0	1	0	0	0	0	0	0
Gm48688	0	0	0	0	0	0	0	0	0	0	0
Gm48689	5	6	12	4	5	10	2	1	7	4	1
Gm48690	1	1	1	1	1	0	1	2	1	0	1
Gm48691	0	0	0	2	0	2	0	1	0	0	1
Gm48692	0	0	0	0	0	0	0	0	1	0	1
Gm48693	0	0	0	0	0	0	0	0	0	0	0
Gm48694	1	0	0	0	0	0	0	0	0	0	0
Gm48695	0	0	0	1	0	0	0	0	0	0	0
Gm48696	2	2	5	0	8	3	5	7	12	0	2
Gm48697	1	0	1	1	0	2	1	0	4	0	0
Gm48698	0	0	0	0	0	0	0	0	0	0	0
Gm48699	0	0	1	1	0	0	0	1	0	0	0
Gm4870	0	0	0	0	0	0	5	1	1	4	0
Gm48700	1	1	1	1	0	1	0	1	3	1	2
Gm48701	3	3	4	1	1	0	1	0	2	0	0
Gm48702	1	0	1	0	0	1	1	1	0	0	0
Gm48703	0	0	0	1	0	0	1	0	0	0	0
Gm48704	0	0	0	0	0	0	0	0	0	0	0
Gm48705	1	0	0	0	0	0	0	0	0	1	0
Gm48706	4	13	4	6	8	1	10	3	14	10	2
Gm48707	3	0	0	0	0	0	0	0	0	0	0
Gm48708	0	2	1	0	1	0	0	1	0	0	0
Gm48709	1	0	0	2	0	0	0	0	0	0	1
Gm4871	0	0	0	0	0	0	0	0	1	0	0
