mouse_gene_symbol	mouse_chromosome
Gm28850	Y
Gm21914	Y
Gm21650	Y
Gm28617	Y
Gm28541	Y
Gm28618	Y
Gm28619	Y
Gm28542	Y
Gm28537	Y
Gm28538	Y
Gm20793	Y
Gm29569	Y
Gm20867	Y
Gm28993	Y
Gm21658	Y
Gm28994	Y
Gm29568	Y
Gm21797	Y
Gm29567	Y
Gm21198	Y
Gm29566	Y
Gm29565	Y
Gm29564	Y
Gm29147	Y
Gm29146	Y
Gm28664	Y
Gm28663	Y
Gm20795	Y
Gm29149	Y
Gm28596	Y
Gm29148	Y
Gm20832	Y
Gm29145	Y
Gm29144	Y
Gm28597	Y
Gm28817	Y
Gm28428	Y
Gm28816	Y
Gm20827	Y
Gm20808	Y
Gm28427	Y
Gm21800	Y
Gm20806	Y
Gm28426	Y
Gm28815	Y
Gm28814	Y
Gm28425	Y
Gm21729	Y
Gm28813	Y
Gm28834	Y
Gm20919	Y
Gm28833	Y
Gm21774	Y
Gm20917	Y
Gm28421	Y
Gm29537	Y
Gm28420	Y
Gm29274	Y
Gm28423	Y
Gm29275	Y
Gm28422	Y
Gm29276	Y
Gm21805	Y
Gm20916	Y
Gm29645	Y
Gm29033	Y
Gm28312	Y
Gm29034	Y
Gm29165	Y
Gm21823	Y
Gm21242	Y
Gm29042	Y
Gm29031	Y
Gm28311	Y
Gm29032	Y
Gm28310	Y
Gm29606	Y
Gm28504	Y
Gm29607	Y
Gm28567	Y
Gm21248	Y
Gm28568	Y
Gm29189	Y
Gm21873	Y
Gm29286	Y
Gm29190	Y
Gm29285	Y
Gm28280	Y
Gm21241	Y
Gm21760	Y
Gm28159	Y
Gm28278	Y
Gm28160	Y
Gm28157	Y
Gm28279	Y
Gm28158	Y
Gm21257	Y
Gm28161	Y
Gm28695	Y
Gm28696	Y
Gm21739	Y
Gm20791	Y
Gm28886	Y
Gm20841	Y
Gm28899	Y
Gm29426	Y
Gm21722	Y
Gm28898	Y
Gm28885	Y
Gm21856	Y
Gm28887	Y
Gm28897	Y
Gm28896	Y
Gm29444	Y
Gm21282	Y
Gm21783	Y
Gm28895	Y
Gm29445	Y
Gm28894	Y
Gm21829	Y
Gm28457	Y
Gm29324	Y
Gm21779	Y
Gm20911	Y
Gm28739	Y
Gm28741	Y
Gm20912	Y
Gm20801	Y
Gm28742	Y
Gm28458	Y
Gm21919	Y
Gm28743	Y
Gm28459	Y
Gm28461	Y
Gm28124	Y
Gm21790	Y
Gm21728	Y
Gm28460	Y
Gm28126	Y
Gm28851	Y
Gm28125	Y
Gm28456	Y
Gm21825	Y
Gm29073	Y
Gm29648	Y
Gm29647	Y
Gm21317	Y
Gm29468	Y
Gm29646	Y
Gm29469	Y
Gm29472	Y
Gm28549	Y
Gm29473	Y
Gm29211	Y
Gm29470	Y
Gm29212	Y
Gm21333	Y
Gm21247	Y
Gm29382	Y
Gm28224	Y
Gm29210	Y
Gm28226	Y
Gm29213	Y
Gm28225	Y
Gm28550	Y
Gm21344	Y
Gm28604	Y
Gm20849	Y
Gm28603	Y
Gm28829	Y
Gm21901	Y
Gm28565	Y
Gm28566	Y
Gm28827	Y
Gm28697	Y
Gm28828	Y
Gm28554	Y
Gm28831	Y
Gm28832	Y
Gm21864	Y
Gm21256	Y
Gm21802	Y
Gm28658	Y
Gm29238	Y
Gm29056	Y
Gm21088	Y
Gm29239	Y
Gm29098	Y
Gm21170	Y
Gm21741	Y
Gm29373	Y
Gm20862	Y
Gm29370	Y
Gm20863	Y
Gm21751	Y
Gm20864	Y
Gm29476	Y
Gm29166	Y
Gm21717	Y
Gm28194	Y
Gm28472	Y
Gm20792	Y
Gm28754	Y
Gm21095	Y
Gm28473	Y
Gm28753	Y
Gm28474	Y
Gm21191	Y
Gm21271	Y
Gm28475	Y
Gm28476	Y
Gm21281	Y
Gm21380	Y
Gm28193	Y
Gm21782	Y
Gm20802	Y
Gm29070	Y
Gm21394	Y
Gm28471	Y
Gm21824	Y
Gm29338	Y
Gm28553	Y
Gm28751	Y
Gm28752	Y
Gm21409	Y
Gm29339	Y
Gm28726	Y
Gm28759	Y
Gm21308	Y
Gm28758	Y
Gm29267	Y
Gm29071	Y
Gm29268	Y
Gm21879	Y
Gm29269	Y
Gm28757	Y
Gm29270	Y
Gm20856	Y
Gm28348	Y
Gm28973	Y
Gm29271	Y
Gm21734	Y
Gm28972	Y
Gm28970	Y
Gm28971	Y
Gm21785	Y
Gm21209	Y
Gm28682	Y
Gm20854	Y
Gm28569	Y
Gm28349	Y
Gm28681	Y
Gm21892	Y
Gm28684	Y
Gm28346	Y
Gm28345	Y
Gm21316	Y
Gm29090	Y
Gm21923	Y
Gm28683	Y
Gm28152	Y
Gm28680	Y
Gm21881	Y
Gm21435	Y
Gm28679	Y
Gm29505	Y
Gm21862	Y
Gm28870	Y
Gm28823	Y
Gm28871	Y
Gm28220	Y
Gm29512	Y
Gm29511	Y
Gm20820	Y
Gm20880	Y
Gm28219	Y
Gm20881	Y
Gm28218	Y
Gm29121	Y
Gm29120	Y
Gm20861	Y
Gm29117	Y
Gm20860	Y
Gm28057	Y
Gm21796	Y
Gm29302	Y
Gm20883	Y
Gm29119	Y
Gm29118	Y
Gm28440	Y
Gm29299	Y
Gm29116	Y
Gm20889	Y
Gm29298	Y
Gm20887	Y
Gm29092	Y
Gm29091	Y
Gm29320	Y
Gm21849	Y
Gm29297	Y
Gm21462	Y
Gm29321	Y
Gm21470	Y
Gm28366	Y
Gm21752	Y
Gm28365	Y
Gm21117	Y
Gm29319	Y
Gm28317	Y
Gm28318	Y
Gm21477	Y
Gm20884	Y
Gm28368	Y
Gm28313	Y
Gm28314	Y
Gm28369	Y
Gm28315	Y
Gm28367	Y
Gm29115	Y
Gm21813	Y
Gm28316	Y
Gm21387	Y
Gm21396	Y
Gm28944	Y
Gm20906	Y
Gm28943	Y
Gm29111	Y
Gm28946	Y
Gm28110	Y
Gm28945	Y
Gm28109	Y
Gm28108	Y
Gm28107	Y
Gm28947	Y
Gm28106	Y
Gm28105	Y
Gm28104	Y
Gm28103	Y
Gm20920	Y
Gm28949	Y
Gm28102	Y
Gm28948	Y
Gm28716	Y
Gm28717	Y
Gm28718	Y
Gm28950	Y
Gm21245	Y
Gm29162	Y
Gm29169	Y
Gm21777	Y
Gm21899	Y
Gm28866	Y
Gm29063	Y
Gm28737	Y
Gm28405	Y
Gm21792	Y
Gm28738	Y
Gm28406	Y
Gm20923	Y
Gm28978	Y
Gm29436	Y
Gm28197	Y
Gm20819	Y
Gm21249	Y
Gm29437	Y
Gm28736	Y
Gm28977	Y
Gm21840	Y
Gm28407	Y
Gm21287	Y
Gm29390	Y
Gm28735	Y
Gm29391	Y
Gm21720	Y
Gm29392	Y
Gm29393	Y
Gm21294	Y
Gm21258	Y
Gm28672	Y
Gm28734	Y
Gm21838	Y
Gm28232	Y
Gm28670	Y
Gm28671	Y
Gm28732	Y
Gm28673	Y
Gm28733	Y
Gm28674	Y
Gm21268	Y
Gm28531	Y
Gm21275	Y
Gm28233	Y
Gm28235	Y
Gm28234	Y
Gm21996	Y
Gm21902	Y
Gm21803	Y
Gm28930	Y
Gm20879	Y
Gm28236	Y
Gm21285	Y
Gm29504	Y
Gm20747	Y
Gm29250	Y
Gm29251	Y
Gm20837	Y
Gm21906	Y
Gm29503	Y
Gm29252	Y
Gm28300	Y
Gm29248	Y
Gm28301	Y
Gm29249	Y
Gm29484	Y
Gm21860	Y
Gm21920	Y
Gm28908	Y
Mid1-ps1	Y
Gm28907	Y
Gm21749	Y
Gm20929	Y
Gm28910	Y
Gm28909	Y
Gm47283	Y
Gm28276	Y
Gm21742	Y
Gm21748	Y
Gm28274	Y
Gm28275	Y
Gm21302	Y
Gm28290	Y
Gm28292	Y
Gm28291	Y
Gm28293	Y
Gm21740	Y
Gm21912	Y
Gm28698	Y
Gm29304	Y
Gm29305	Y
Gm29303	Y
Gm21894	Y
Gm29307	Y
Gm29557	Y
Gm20927	Y
Gm20930	Y
Gm29306	Y
Gm29300	Y
Gm29301	Y
Gm20931	Y
Gm29559	Y
Gm29558	Y
Gm29555	Y
Gm21733	Y
Gm21330	Y
Gm28355	Y
Gm28354	Y
Gm28353	Y
Gm28352	Y
Gm21858	Y
Gm29244	Y
Gm28200	Y
Gm28201	Y
Gm28202	Y
Gm28203	Y
Gm21340	Y
Gm28204	Y
Gm28205	Y
Gm28206	Y
Gm28207	Y
Gm28208	Y
Gm21851	Y
Gm21819	Y
Gm29224	Y
Gm29223	Y
Gm29222	Y
Gm29221	Y
Gm29220	Y
Gm21815	Y
Gm29407	Y
Gm29405	Y
Gm29406	Y
Gm20913	Y
Gm29404	Y
Gm29403	Y
Gm28350	Y
Gm28964	Y
Sly	Y
Gm28165	Y
Gm28709	Y
Gm28965	Y
Gm21868	Y
Gm21943	Y
Gm28532	Y
Gm28533	Y
Gm28966	Y
Gm28961	Y
Gm28962	Y
Gm28963	Y
Gm29466	Y
Gm29467	Y
Gm21724	Y
Gm20963	Y
Gm28326	Y
Gm28325	Y
Gm21405	Y
Gm28284	Y
Gm29368	Y
Gm21861	Y
Gm21413	Y
Gm28073	Y
Gm21419	Y
Gm28074	Y
Gm21428	Y
Gm28072	Y
Gm21758	Y
Gm29672	Y
Gm29131	Y
Gm20871	Y
Gm29130	Y
Gm20978	Y
Gm29132	Y
Gm21450	Y
Gm21843	Y
Gm28889	Y
Gm28890	Y
Gm28891	Y
Gm28691	Y
Gm28692	Y
Gm20794	Y
Gm28690	Y
Gm28689	Y
Gm28687	Y
Gm20987	Y
Gm21918	Y
1700040F15Rik	Y
Gm29207	Y
Gm29204	Y
Gm21489	Y
Gm21832	Y
Gm21573	Y
Gm28179	Y
Gm21577	Y
Gm29206	Y
Gm29203	Y
Gm21497	Y
Gm29614	Y
Gm29613	Y
Gm29612	Y
Gm29343	Y
Gm29342	Y
Gm20803	Y
Gm20804	Y
Gm28598	Y
Gm28599	Y
Gm28600	Y
Gm21518	Y
Gm28185	Y
Gm29037	Y
Gm20823	Y
Gm21877	Y
Gm28835	Y
Gm29548	Y
Gm29547	Y
Gm29546	Y
Gm29545	Y
Gm29544	Y
Gm29209	Y
Gm29549	Y
Gm21530	Y
Gm21617	Y
Gm28589	Y
Gm29420	Y
Gm29421	Y
Gm21627	Y
Gm29422	Y
Gm28808	Y
Gm21634	Y
Gm28446	Y
Gm29060	Y
Gm29061	Y
Gm20885	Y
Gm29062	Y
Gm29057	Y
Gm29625	Y
Gm21654	Y
Gm29058	Y
Gm29059	Y
Gm29628	Y
Gm20882	Y
Gm20907	Y
Gm29624	Y
Gm29623	Y
Gm29622	Y
Gm29265	Y
Gm20908	Y
Gm29259	Y
Gm28860	Y
Gm28252	Y
Gm28859	Y
Gm20921	Y
Gm28253	Y
Gm21826	Y
Gm28254	Y
Gm28861	Y
Gm28255	Y
Gm21171	Y
Gm20924	Y
Gm28990	Y
Gm21848	Y
Gm29457	Y
Gm20736	Y
Gm28558	Y
Gm28560	Y
Gm28561	Y
Gm29584	Y
Gm20936	Y
Gm20934	Y
Gm29586	Y
Gm21895	Y
Gm28134	Y
Gm28135	Y
Gm20933	Y
Gm28133	Y
Gm28137	Y
Gm28138	Y
Gm21837	Y
Gm28136	Y
Gm21910	Y
Gm29377	Y
Gm21889	Y
Gm29378	Y
Gm29379	Y
Gm29380	Y
Gm29381	Y
Gm28795	Y
Gm20852	Y
Gm29003	Y
Gm28749	Y
Gm29001	Y
Gm29002	Y
Ssty2	Y
Gm29000	Y
Gm28646	Y
Gm28612	Y
Gm28613	Y
Gm28611	Y
Gm21114	Y
Gm29633	Y
Gm21794	Y
Gm29219	Y
Gm29632	Y
Gm29631	Y
Gm29637	Y
Gm20874	Y
Gm29082	Y
Gm29217	Y
Gm29636	Y
Gm29635	Y
Gm29634	Y
Gm29639	Y
Gm29218	Y
Gm21806	Y
Gm20935	Y
Gm29662	Y
Gm29660	Y
Gm29661	Y
Gm29659	Y
Gm20937	Y
Gm29450	Y
Gm29449	Y
Gm31335	Y
Gm37690	Y
Gm38107	Y
Gm31571	Y
Gm32114	Y
Gm37075	Y
Gm37921	Y
Gm32180	Y
Gm38371	Y
Gm37657	Y
Gm37448	Y
Gm33163	Y
Gm21065	Y
Gm36978	Y
Gm37721	Y
Gm37129	Y
Gm37990	Y
Gm21366	Y
Gm33954	Y
Gm37538	Y
Gm21871	Y
Gm34274	Y
Gm34217	Y
Gm21469	Y
Gm21661	Y
Gm37952	Y
Gm21907	Y
Gm37627	Y
Gm20925	Y
Gm20926	Y
Gm37454	Y
Gm38138	Y
Gm29740	Y
Gm37840	Y
Gm37574	Y
Gm21768	Y
Gm37172	Y
Gm35670	Y
Gm20840	Y
Gm35955	Y
Gm37687	Y
Gm38296	Y
Gm38290	Y
Gm38121	Y
Gm36047	Y
Gm36345	Y
Gm37157	Y
Gm38017	Y
Gm36468	Y
Gm21845	Y
Gm20809	Y
Gm37434	Y
Gm37765	Y
Gm38229	Y
Gm36866	Y
Gm30045	Y
Gm21921	Y
Gm37112	Y
Gm37287	Y
Gm30175	Y
Gm21350	Y
Gm21412	Y
Gm37071	Y
Gm37547	Y
Gm36968	Y
Gm38035	Y
Gm20857	Y
Gm30705	Y
Gm21773	Y
Gm37451	Y
Gm37793	Y
Gm30858	Y
Gm21791	Y
Gm21427	Y
Gm37875	Y
Gm37237	Y
Gm38350	Y
Gm20858	Y
Gm31422	Y
Gm37798	Y
Gm37318	Y
Gm31572	Y
Gm21890	Y
Gm21443	Y
Gm37346	Y
Gm38136	Y
Gm37991	Y
Gm37808	Y
Gm33571	Y
Gm32181	Y
Gm28662	Y
Gm28780	Y
Gm21755	Y
Gm20895	Y
Gm28853	Y
Gm28852	Y
Gm28855	Y
Gm28854	Y
Gm28858	Y
Gm20890	Y
Gm28245	Y
Gm28246	Y
Gm28247	Y
Gm28248	Y
Gm20892	Y
Gm28249	Y
Gm28250	Y
Gm28251	Y
Gm28243	Y
Gm28244	Y
Gm21771	Y
Gm21476	Y
Gm29021	Y
Gm28880	Y
Gm28452	Y
Gm21488	Y
Gm28454	Y
Gm28878	Y
Gm28879	Y
Gm29369	Y
Gm21506	Y
Gm29399	Y
Gm29400	Y
Gm29401	Y
Gm20891	Y
Gm20893	Y
Gm28799	Y
Gm28798	Y
Gm28797	Y
Gm28796	Y
Gm20894	Y
Gm28938	Y
Gm28937	Y
Gm28936	Y
Gm21642	Y
Gm21804	Y
Gm29122	Y
Gm28939	Y
Gm28983	Y
Gm28985	Y
Gm20810	Y
Gm20811	Y
Gm28725	Y
Gm28984	Y
Gm28987	Y
Gm28986	Y
Gm29171	Y
Gm28129	Y
Gm28127	Y
Gm28128	Y
Gm21853	Y
Gm28132	Y
Gm28130	Y
Gm28131	Y
Gm21679	Y
Gm29317	Y
Gm29316	Y
Gm29315	Y
Gm28216	Y
Gm28217	Y
Gm28093	Y
Gm28092	Y
Gm28091	Y
Gm28090	Y
Gm29580	Y
Gm28089	Y
Gm28088	Y
Gm29579	Y
Gm29582	Y
Gm21529	Y
Gm29581	Y
Gm21539	Y
Gm29578	Y
Gm21908	Y
Gm21780	Y
Gm28486	Y
Gm21737	Y
Gm28487	Y
Gm29289	Y
Gm21677	Y
Gm29288	Y
Gm21693	Y
Gm21139	Y
Gm21704	Y
Gm21147	Y
Gm21708	Y
Gm21156	Y
Rhoay-ps2	Y
Gm2316	Y
Gm3376	Y
Gm2325	Y
Gm28649	Y
Gm8521	Y
Gm18177	Y
Gm28429	Y
Gm28413	Y
Gm28412	Y
Gm8525	Y
Gm28414	Y
Gm28648	Y
Gm28647	Y
Gm29435	Y
Vmn2r-ps139	Y
Gm29038	Y
Gm28191	Y
Gm28186	Y
Gm21064	Y
Gm28241	Y
Gm28242	Y
Gm37222	Y
Gm28356	Y
Gm28357	Y
Gm29352	Y
Gm29351	Y
Gm29350	Y
Gm29349	Y
Gm29355	Y
Gm20918	Y
Gm29354	Y
Gm29353	Y
Gm50460	Y
Gm21820	Y
Gm29357	Y
Gm29356	Y
Gm29161	Y
Gm28767	Y
Gm29160	Y
Gm20915	Y
Gm28766	Y
Gm29159	Y
Gm29158	Y
Gm21854	Y
Gm28768	Y
Gm28769	Y
Gm20914	Y
Gm28171	Y
Gm28173	Y
Gm37236	Y
Gm29194	Y
Gm21778	Y
Gm29195	Y
Gm29196	Y
Gm28435	Y
Gm28436	Y
Gm29197	Y
Gm29198	Y
Gm29193	Y
Gm28430	Y
Gm21746	Y
Gm28593	Y
Gm20873	Y
Gm28916	Y
Gm28915	Y
Gm28918	Y
Gm28917	Y
Gm28919	Y
Gm21719	Y
Gm28921	Y
Gm28920	Y
Gm28444	Y
Gm28443	Y
Gm20830	Y
Gm28442	Y
Gm28445	Y
Gm20788	Y
Gm28999	Y
Gm21244	Y
Gm28997	Y
Gm28998	Y
Gm28398	Y
Gm28397	Y
Gm28400	Y
Gm28399	Y
Gm28395	Y
Gm21788	Y
Gm28394	Y
Gm28396	Y
Gm28393	Y
Gm20826	Y
Vmn2r-ps149	Y
Gm28576	Y
Gm28575	Y
Gm28574	Y
Gm28573	Y
Gm28572	Y
Gm28571	Y
Gm28570	Y
Gm29049	Y
Gm20825	Y
Gm29047	Y
Gm29048	Y
Gm29045	Y
Gm29046	Y
Gm29043	Y
Gm29044	Y
Gm37951	Y
Gm20824	Y
Gm28146	Y
Gm28145	Y
Gm28148	Y
Gm28147	Y
Gm28142	Y
Gm28141	Y
Gm28144	Y
Gm28143	Y
Gm28150	Y
Gm28149	Y
Gm28098	Y
Gm28330	Y
Gm28331	Y
Gm28099	Y
Gm20815	Y
Gm28328	Y
Gm28329	Y
Gm28270	Y
Gm28327	Y
Gm28097	Y
Gm29365	Y
Gm29364	Y
Gm29363	Y
Gm21292	Y
Gm21721	Y
Gm29366	Y
Gm29281	Y
Gm29330	Y
Gm29329	Y
Gm21812	Y
Gm29535	Y
Gm29533	Y
Gm29534	Y
Gm21874	Y
Gm28849	Y
Gm28847	Y
Gm28848	Y
Gm28846	Y
Gm29471	Y
Gm29474	Y
Gm29475	Y
Gm20821	Y
Gm28506	Y
Gm28507	Y
Gm21301	Y
Gm29142	Y
Gm21310	Y
Gm28509	Y
Gm28508	Y
Gm20834	Y
Gm28510	Y
Gm29525	Y
Gm29526	Y
Gm20737	Y
Gm21775	Y
Gm21900	Y
Gm29527	Y
Gm20775	Y
Gm29522	Y
Gm29523	Y
Gm29524	Y
Gm29528	Y
Gm20777	Y
Gm28955	Y
Gm28954	Y
Gm28953	Y
Gm20776	Y
Gm28958	Y
Gm20828	Y
Gm28957	Y
Gm28956	Y
Gm28952	Y
Gm28951	Y
Gm28390	Y
Gm28391	Y
Gm28389	Y
Gm28655	Y
Gm28654	Y
Gm28657	Y
Gm28656	Y
Gm29554	Y
Gm29556	Y
Gm20812	Y
Gm35108	Y
Gm37739	Y
Gm21736	Y
Gm21379	Y
Gm36928	Y
Gm20807	Y
Gm38084	Y
Gm37231	Y
Gm21891	Y
Gm21425	Y
Gm37252	Y
Gm21828	Y
Gm21440	Y
Gm21454	Y
Gm37147	Y
Gm38159	Y
Gm21725	Y
Gm37870	Y
Gm37378	Y
Gm21866	Y
Gm20773	Y
Gm36398	Y
Gm37441	Y
Gm37561	Y
Gm36728	Y
Gm32295	Y
Gm20836	Y
Gm37263	Y
Gm21767	Y
Gm37130	Y
Gm37467	Y
Gm20928	Y
Gm38363	Y
Gm30174	Y
Gm30353	Y
Gm30686	Y
Gm30737	Y
Gm36987	Y
Gm31186	Y
Gm37654	Y
Gm37044	Y
Gm31511	Y
Gm37572	Y
Gm37344	Y
Gm37059	Y
Gm31942	Y
Gm37440	Y
Gm38185	Y
Gm37395	Y
Gm37577	Y
Gm20822	Y
Gm38183	Y
Gm38149	Y
Gm38145	Y
Gm32033	Y
Gm32447	Y
Gm20770	Y
Gm38016	Y
Gm37158	Y
Gm36998	Y
Gm33112	Y
Gm21809	Y
Gm34015	Y
Gm20877	Y
Gm33191	Y
Gm38003	Y
Gm20781	Y
Rbm31y	Y
Gm37325	Y
Gm20833	Y
Gm37865	Y
Gm36941	Y
Gm21904	Y
Gm37937	Y
Gm20772	Y
Gm20831	Y
Gm37286	Y
Srsy	Y
Gm38028	Y
Gm21764	Y
Ssty1	Y
Gm38072	Y
Gm20851	Y
Gm30312	Y
Gm37433	Y
Gm37473	Y
Gm37656	Y
Gm38127	Y
Gm30638	Y
Gm38361	Y
Gm31260	Y
Gm21660	Y
Gm38209	Y
Gm21822	Y
Gm37734	Y
Gm38013	Y
Gm21678	Y
Gm37948	Y
Gm37442	Y
Gm34550	Y
Gm37544	Y
Gm34716	Y
Gm37635	Y
Gm35070	Y
Gm35134	Y
Gm37998	Y
Gm38094	Y
Gm21763	Y
Gm38369	Y
Gm35843	Y
Gm38168	Y
Gm37740	Y
Gm37723	Y
Gm36261	Y
Gm37898	Y
Gm36467	Y
Gm37927	Y
Gm36891	Y
Gm36929	Y
Gm38174	Y
Gm29866	Y
