mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Zadh2	18	ZADH2	18
Cldn17	16	CLDN17	21
2610028H24Rik	10	C21orf58	21
Rln1	19	RLN1	9
Rnf38	4	RNF38	9
Mcm3ap	10	MCM3AP	21
B4galt5	2	B4GALT5	20
Gm9508	10	KRTAP10-6	21
Gm9508	10	KRTAP10-11	21
Gm24163	13		20
Svs3b	2	SEMG2	20
Svs3b	2	SEMG1	20
Cbx7	15	CBX7	22
Zfyve1	12	ZFYVE1	14
Krtap12-1	10	KRTAP10-6	21
Tgif2lx2	X	TGIF2LX	X
Tbc1d14	5	TBC1D14	4
Rnf114	2	RNF114	20
H2ap	X	H2AP	X
Ss18l1	2	SS18L1	20
Cbs	17	CBS	21
Ttc38	15	TTC38	22
Tmem184b	15	TMEM184B	22
Seh1l	18	SEH1L	18
Zfp941	7	ZNF519	18
Psma7	2	PSMA7	20
Ifna1	4	IFNA16	9
Ifna1	4	IFNA2	9
Ifna1	4	IFNA6	9
Ifna1	4	IFNA13	9
Ifna1	4	IFNA7	9
Ifna1	4	IFNA17	9
Ism1	2	ISM1	20
Efcab6	15	EFCAB6	22
Tecpr2	12	TECPR2	14
Tspo	15	TSPO	22
Cbr3	16	CBR3	21
Cdh4	2	CDH4	20
Sox18	2	SOX18	20
Gm24031	14		20
Gm22540	9	RNU6-1242P	18
Samsn1	16	SAMSN1	21
Gm23199	X	RNU6-147P	20
Gm24631	9	RNU6-346P	18
Tpgs2	18	TPGS2	18
Cxadr	16	CXADR	21
Flt1	5	FLT1	13
Gm25151	1		20
Trappc10	10		21
Trappc10	10	TRAPPC10	21
Defb15	8	DEFB127	20
Defb15	8	DEFB121	20
Serpinb8	1	SERPINB8	18
Gm1141	X	PASD1	X
Smad2	18	SMAD2	18
Dennd6b	15	DENND6B	22
Xrn2	2	XRN2	20
Poln	5	POLN	4
Kcnj15	16	KCNJ15	21
H2al1c	X	H2AL3	X
Iglc2	16	IGLC2	22
Iglc2	16	IGLL5	22
Iglc2	16	IGLL1	22
Iglc2	16	IGLC3	22
Iglc2	16	IGLC1	22
Ptger2	14	PTGER2	14
Ifna2	4	IFNA16	9
Ifna2	4	IFNA2	9
Ifna2	4	IFNA6	9
Ifna2	4	IFNA13	9
Ifna2	4	IFNA7	9
Ifna2	4	IFNA17	9
Gm25054	6	RNU6-346P	18
Ptgis	2	PTGIS	20
Patz1	11	PATZ1	22
Gm42517	5	TMEM271	4
Ribc2	15	RIBC2	22
Kl	5	KL	13
Gm3285	10	KRTAP10-6	21
Gm3285	10	KRTAP10-11	21
Lhfp	3	LHFPL6	13
Ltn1	16	LTN1	21
Runx1	16	RUNX1	21
Pwwp4d	X	PWWP4	X
Chrna9	5	CHRNA9	4
Ptpn2	18	PTPN2	18
Gm24411	2	SNORA71C	20
Rtl6	15	RTL6	22
Tmx1	12	TMX1	14
Bik	15	BIK	22
Echdc3	2	ECHDC3	10
Cenpc1	5	CENPC	4
Elfn2	15	ELFN2	22
Zic3	X	ZIC3	X
Scml2	X	SCML2	X
Thoc2	X	THOC2	X
Donson	16	DONSON	21
Cldn8	16	CLDN8	21
Zbtb21	16	ZBTB21	21
Svs3a	2	SEMG2	20
Svs3a	2	SEMG1	20
Sfi1	11	SFI1	22
Cubn	2	CUBN	10
Crlf2	5	CRLF2	X
Ighv1-71	12	IGHV1OR21-1	21
Ada	2	ADA	20
Pfkl	10	PFKL	21
Ranbp6	19	RANBP6	9
Krtap10-10	10	KRTAP10-6	21
Krtap10-10	10	KRTAP10-11	21
Wfdc10	2	WFDC10A	20
Sh3bp1	15		22
Gm19668	10	KRTAP10-6	21
Gm19668	10	KRTAP10-11	21
L3hypdh	12	L3HYPDH	14
Gm49510	15		22
Rock1	18	ROCK1	18
Pdyn	2	PDYN	20
Otud6a	X	OTUD6A	X
Fam3b	16	FAM3B	21
Rgs6	12	RGS6	14
Cdh22	2	CDH22	20
Ighv1-80	12	IGHV1OR21-1	21
Epg5	18	EPG5	18
Mex3c	18	MEX3C	18
Ahcy	2	AHCY	20
Gm6525	3	RPL36AL	14
Nup50	15	NUP50	22
Ccdc3	2	CCDC3	10
Lhfpl1	X	LHFPL1	X
Gm1043	5	C4orf50	4
Gpr137c	14	GPR137C	14
Rab39b	X	RAB39B	X
Gm20458	2	SYS1-DBNDD2	20
Mia2	12	CTAGE1	18
Eya2	2	EYA2	20
Chaf1b	16	CHAF1B	21
H2al1m	X	H2AL3	X
Il1rapl2	X	IL1RAPL2	X
Gm22498	14	SNORD86	20
Ighv1-52	12	IGHV1OR21-1	21
Sh3bgrl	X	SH3BGRL	X
Ighv1-62-2	12	IGHV1OR21-1	21
Rab22a	2	RAB22A	20
Fbln1	15	FBLN1	22
Susd6	12	SUSD6	14
Fam83d	2	FAM83D	20
Gdf5	2	GDF5	20
Bpifa2	2	BPIFA2	20
Zfp78	7	ZNF337	20
Zfp78	7	KRBOX4	X
Csnk1e	15	TPTEP2-CSNK1E	22
Csnk1e	15	CSNK1E	22
Mipep	14	MIPEP	13
Cylc1	X	CYLC1	X
Limk2	11	LIMK2	22
Il17ra	6	IL17RA	22
Wnt7b	15	WNT7B	22
Il13ra2	X	IL13RA2	X
Pmepa1	2	PMEPA1	20
Acaa2	18	ACAA2	18
Mc2r	18	MC2R	18
Usp11	X	USP11	X
Ankrd12	17	ANKRD12	18
Trdmt1	2	TRDMT1	10
Mro	18	MRO	18
Lsm14b	2	LSM14B	20
Scp2d1	2	SCP2D1	20
Akap6	12	AKAP6	14
Usp27x	X	USP27X	X
Wdr13	X	WDR13	X
Hormad2	11	HORMAD2	22
Ighv1-72	12	IGHV1OR21-1	21
2610021A01Rik	7	ZNF519	18
Katnal1	5	KATNAL1	13
Adgra3	5	ADGRA3	4
Jakmip1	5	JAKMIP1	4
Bmp4	14	BMP4	14
Tbx22	X	TBX22	X
Uchl1	5	UCHL1	4
Ighv1-50	12	IGHV1OR21-1	21
Tmem200c	17	TMEM200C	18
Dhx15	5	DHX15	4
Ccbe1	18	CCBE1	18
Gm22701	8	RN7SL116P	20
Sstr1	12	SSTR1	14
Gm3238	10	KRTAP10-6	21
Gm3238	10	KRTAP10-11	21
Slc25a51	4	SLC25A52	18
Apbb2	5	APBB2	4
Slc25a21	12	SLC25A21	14
Gm25079	16		18
Hccs	X	HCCS	X
Cep250	2	CEP250	20
Prpf39	12	PRPF39	14
Cdkl5	X	CDKL5	X
Slc1a1	19	SLC1A1	9
Lrrc9	12	LRRC9	14
Tgm2	2	TGM2	20
Pim3	15	PIM3	22
Il13ra1	X	IL13RA1	X
Gm22287	X	RNU6-1037P	18
Krtap9-3	11	KRTAP10-11	21
Gm22394	10		21
Slain1	14	SLAIN1	13
Ska1	18	SKA1	18
Wfdc11	2	WFDC11	20
Rbx1	15	RBX1	22
Npc1	18	NPC1	18
Fundc2	X	FUNDC2	X
Slc5a1	5	SLC5A1	22
Prr14l	5	PRR14L	22
Ighv1-24	12	IGHV1OR21-1	21
Zfp64	2	ZFP64	20
Elf1	14	ELF1	13
Snord57	2	SNORD57	20
Arhgap8	15	PRR5-ARHGAP8	22
Ctps2	X	CTPS2	X
Dcun1d4	5	DCUN1D4	4
Psmc1	12	PSMC1	14
Rit2	18	RIT2	18
Nudt10	X	NUDT11	X
Foxr2	X	FOXR2	X
Gm1123	9	CXADR	21
Taf4b	18	TAF4B	18
Med15	16	MED15	22
Stk4	2	STK4	20
Npepl1	2	NPEPL1	20
Ighv1-42	12	IGHV1OR21-1	21
Apmap	2	APMAP	20
Ighv1-66	12	IGHV1OR21-1	21
Ids	X	IDS	X
Ids	X		X
Rsph1	17	RSPH1	21
Gm9736	10	KRTAP10-6	21
Gm9736	10	KRTAP10-11	21
Mageb16	X	MAGEB16	X
Bmp2	2	BMP2	20
Pigp	16	PIGP	21
Prr32	X	PRR32	X
Synj1	16	SYNJ1	21
Pkdrej	15	PKDREJ	22
Pcsk2	2	PCSK2	20
Garem1	18	GAREM1	18
Foxa1	12	FOXA1	14
Entpd6	2	ENTPD6	20
Gm25818	6	RNU1-98P	21
Cntln	4	CNTLN	9
Reps2	X	REPS2	X
Htatsf1	X	HTATSF1	X
Gphb5	12	GPHB5	14
Ifna9	4	IFNA16	9
Ifna9	4	IFNA2	9
Ifna9	4	IFNA6	9
Ifna9	4	IFNA13	9
Ifna9	4	IFNA7	9
Ifna9	4	IFNA17	9
Cstb	10	CSTB	21
Serpinb2	1	SERPINB2	18
C1qtnf9	14	C1QTNF9	13
Icosl	10		21
Icosl	10	ICOSLG	21
Dct	14	DCT	13
Tenm1	X	TENM1	X
Ppp6r2	15	PPP6R2	22
Cbln4	2	CBLN4	20
Rbm17	2	RBM17	10
Syndig1	2	SYNDIG1	20
Prelid3b	2	PRELID3B	20
Plpp6	19	PLPP6	9
Dnajc15	14	DNAJC15	13
Pabpc1l	2	PABPC1L	20
Scarna17	18		18
Hao1	2	HAO1	20
Slc25a5	X	SLC25A5	X
8030462N17Rik	18	C18orf25	18
Ndrg3	2	NDRG3	20
Gm7137	10	KRTAP10-6	21
Gm7137	10	KRTAP10-11	21
Phlpp1	1	PHLPP1	18
Gm18596	10	KRTAP10-6	21
Gm18596	10	KRTAP10-11	21
Bpifb2	2	BPIFB2	20
Hsph1	5	HSPH1	13
Ltbp2	12	LTBP2	14
Dnajc5	2	DNAJC5	20
Nr0b1	X	NR0B1	X
Txndc16	14	TXNDC16	14
Ipo5	14	IPO5	13
Bora	14	BORA	13
Itm2a	X	ITM2A	X
Ighv3-3	12	IGHV4-34	14
Crmp1	5	CRMP1	4
Ifna7	4	IFNA16	9
Ifna7	4	IFNA2	9
Ifna7	4	IFNA6	9
Ifna7	4	IFNA13	9
Ifna7	4	IFNA7	9
Ifna7	4	IFNA17	9
Gm22603	11		21
Parp4	14	PARP4	13
Ociad2	5	OCIAD2	4
Riok3	18	RIOK3	18
Tmx4	2	TMX4	20
Zfp516	18	ZNF516	18
Gm1140	X	FAM9B	X
Gm1140	X	FAM9C	X
Gm1140	X	FAM9A	X
Bex4	X	BEX4	X
Ighv1-84	12	IGHV1OR21-1	21
Slc23a2	2	SLC23A2	20
Brwd3	X	BRWD3	X
Ppp1r3d	2	PPP1R3D	20
Tmx3	18	TMX3	18
Alg12	15	ALG12	22
Rgs19	2	RGS19	20
Btbd3	2	BTBD3	20
Idua	5	IDUA	4
Cfap99	5	CFAP99	4
Skor2	18	SKOR2	18
Amelx	X	AMELX	X
Adgrg4	X	ADGRG4	X
Dlg3	X	DLG3	X
Myo5b	18	MYO5B	18
Ercc6l	X	ERCC6L	X
Aff2	X	AFF2	X
Sec11c	18	SEC11C	18
Gm10142	10	KRTAP10-6	21
Spon2	5	SPON2	4
Sptlc3	2	SPTLC3	20
Aptx	4	APTX	9
Tpte	8	TPTE	21
Akap11	14	AKAP11	13
Cndp2	18	CNDP2	18
Gm23025	3	RNU6-992P	21
Chodl	16	CHODL	21
Spata7	12	SPATA7	14
Gm24533	6		18
Gm24533	6	RNU105B	20
Adrm1	2	ADRM1	20
Phf20	2	PHF20	20
Erich6b	14	ERICH6B	13
Ankrd54	15	ANKRD54	22
Ppp2r5e	12	PPP2R5E	14
Mir1a-2	18	MIR1-2	18
Zfp512b	2	ZNF512B	20
Fam243	16	FAM243A	21
Dsg4	18	DSG4	18
Gm9733	3		20
Gm9733	3	SIRPG	20
Haus1	18	HAUS1	18
Cdc42ep1	15	CDC42EP1	22
Bach1	16	BACH1	21
Col6a2	10	COL6A2	21
Ighv14-2	12	IGHV1OR21-1	21
Mppe1	18	MPPE1	18
Rprd1a	18	RPRD1A	18
Nop56	2	NOP56	20
Nrip1	16	NRIP1	21
Hdx	X	HDX	X
Hmgb3	X	HMGB3	X
Gtpbp6	5	GTPBP6	X
Slc37a1	17	SLC37A1	21
Pcgf3	5	PCGF3	4
Glud1	14	GLUD2	X
Igsf1	X	IGSF1	X
	8	RN7SKP147	21
Gm9639	10	KRTAP10-6	21
Gm9639	10	KRTAP10-11	21
Tubb1	2	TUBB1	20
Krtap14	16	KRTAP13-3	21
Pstpip2	18	PSTPIP2	18
Col18a1	10	COL18A1	21
Morc3	16	MORC3	21
Slc14a1	18	SLC14A1	18
Adgrg2	X	ADGRG2	X
Ccdc175	12	CCDC175	14
Itgb2l	16	ITGB2	21
Rab27b	18	RAB27B	18
Gm22362	6		21
Tgif2lx1	X	TGIF2LX	X
Trdc	14	TRDC	14
Trmt44	5	TRMT44	4
Radx	X	RADX	X
Asb12	X	ASB12	X
Ifngr2	16	IFNGR2	21
Tcea2	2	TCEA2	20
Stk32b	5	STK32B	4
Tcp10a	17	TCP10L	21
Ucn3	13	UCN3	10
Drd5	5	DRD5	4
Stk35	2	STK35	20
Defb21	2	DEFB118	20
Bex1	X	BEX1	X
Bpifa1	2	BPIFA1	20
Dgat2l6	X	DGAT2L6	X
Rps6ka6	X	RPS6KA6	X
Arhgap6	X	ARHGAP6	X
Il2ra	2	IL2RA	10
Nkx3-2	5	NKX3-2	4
Atrn	2	ATRN	20
Dip2a	10	DIP2A	21
Dok6	18	DOK6	18
Ttc39b	4	TTC39B	9
Gm7145	1	ZNF519	18
Atp5c1	2	ATP5F1C	10
Kcnh5	12	KCNH5	14
Tcl1b4	12	TCL1B	14
Defb26	2	DEFB125	20
Tcl1b3	12	TCL1B	14
Cep128	12	CEP128	14
Cndp1	18	CNDP1	18
Ufm1	3	UFM1	13
Cd274	19	CD274	9
4930415L06Rik	X	PPP4R3C	X
Il15ra	2	IL15RA	10
Chmp1b	18	CHMP1B	18
Pbdc1	X	PBDC1	X
Styx	14	STYX	14
Mok	12	MOK	14
Vapb	2	VAPB	20
Atp5k	5	ATP5ME	4
Gm4924	10	ZNF721	4
Psmc6	14	PSMC6	14
Sptssa	12	SPTSSA	14
Vgll1	X	VGLL1	X
Gm14692	X	FAM9B	X
Gm14692	X	FAM9C	X
Gm14692	X	FAM9A	X
Slx4ip	2	SLX4IP	20
Itsn1	16	ITSN1	21
Proser1	3	PROSER1	13
Tnip2	5	TNIP2	4
Adra2c	5	ADRA2C	4
Tgif1	17	TGIF1	18
Ighv1-69	12	IGHV1OR21-1	21
Commd8	5	COMMD8	4
Parvg	15	PARVG	22
Triobp	15	TRIOBP	22
H2al1e	X	H2AL3	X
Zcchc13	X	ZCCHC13	X
Tceal5	X	TCEAL5	X
Socs4	14	SOCS4	14
Cryaa	17	CRYAA	21
Gm23093	11	RNU6-1242P	18
Ifna15	4	IFNA16	9
Ifna15	4	IFNA2	9
Ifna15	4	IFNA6	9
Ifna15	4	IFNA13	9
Ifna15	4	IFNA7	9
Ifna15	4	IFNA17	9
Thbd	2	THBD	20
Trp53tg5	2	TP53TG5	20
Gtse1	15	GTSE1	22
Chst7	X	CHST7	X
Ighv1-26	12	IGHV1OR21-1	21
Kif3b	2	KIF3B	20
Rpp38	2	RPP38	10
Slitrk4	X	SLITRK4	X
Fscb	12	FSCB	14
Gm49325	10	SUMO3	21
Rab31	17	RAB31	18
	X	TEX13C	X
Syt4	18	SYT4	18
Acbd7	2	ACBD7	10
Crls1	2	CRLS1	20
Iglc4	16	IGLC2	22
Iglc4	16	IGLL5	22
Iglc4	16	IGLL1	22
Iglc4	16	IGLC3	22
Iglc4	16	IGLC1	22
Tfap2c	2	TFAP2C	20
Tmem50b	16	TMEM50B	21
Ep300	15	EP300	22
Igbp1	X	IGBP1	X
Mrps6	16	MRPS6	21
	13	RNU6-408P	18
Dnmt3l	10		21
Dnmt3l	10	DNMT3L	21
Rpl3	15	RPL3	22
Dzank1	2	DZANK1	20
Uhrf2	19	UHRF2	9
Meig1	2	MEIG1	10
Serpinb10	1	SERPINB10	18
Impact	18	IMPACT	18
Gm3250	10	KRTAP10-6	21
Gm3250	10	KRTAP10-11	21
Rrp1b	17	RRP1B	21
Sephs1	2	SEPHS1	10
Ighv14-3	12	IGHV1OR21-1	21
Usp12	5	USP12	13
Tcf4	18	TCF4	18
Ptgdr	14	PTGDR	14
Rfc3	5	RFC3	13
Wfdc12	2	WFDC12	20
Gm22766	12	RNU6-1278P	18
Cst7	2	CST7	20
Defb29	2	DEFB116	20
Cryl1	14	CRYL1	13
Snord58b	18	SNORD58B	18
Lingo2	4	LINGO2	9
Atp9a	2	ATP9A	20
Htr2c	X	HTR2C	X
Dach1	14	DACH1	13
Sdc4	2	SDC4	20
Rp2	X	RP2	X
4930447C04Rik	12	C14orf39	14
Tmem241	18	TMEM241	18
Ighv1-20	12	IGHV1OR21-1	21
Prkch	12		14
Snx6	12	SNX6	14
Chadl	15	CHADL	22
Tex13c1	X	TEX13C	X
Cnksr2	X	CNKSR2	X
Slc7a3	X	SLC7A3	X
Gm25401	9	RNU6-1326P	21
Gga1	15	GGA1	22
Spo11	2	SPO11	20
Ighv1-12	12	IGHV1OR21-1	21
Tti1	2	TTI1	20
Fam83f	15	FAM83F	22
Syap1	X	SYAP1	X
C1ql3	2	C1QL3	10
Ighv1-7	12	IGHV1OR21-1	21
Acox3	5	ACOX3	4
Arhgef6	X	ARHGEF6	X
Pds5a	5	PDS5A	4
Tcl1b5	12	TCL1B	14
Rbm25	12	RBM25	14
Ifna12	4	IFNA16	9
Ifna12	4	IFNA2	9
Ifna12	4	IFNA6	9
Ifna12	4	IFNA13	9
Ifna12	4	IFNA7	9
Ifna12	4	IFNA17	9
Mapre2	18	MAPRE2	18
Ighv1-56	12	IGHV1OR21-1	21
Pcmtd2	2	PCMTD2	20
H2al1f	X	H2AL3	X
Nbdy	X	NBDY	X
Pde9a	17	PDE9A	21
Bod1	11	BOD1L2	18
Cbln2	18	CBLN2	18
Gm10318	10	KRTAP10-6	21
Gm10318	10	KRTAP10-11	21
Nkx2-4	2	NKX2-4	20
Mtap	4	MTAP	9
Mtap	4		9
Sh3bp2	5	SH3BP2	4
Tubal3	13	TUBAL3	10
Elmo2	2	ELMO2	20
Ccdc85c	12	CCDC85C	14
Grpr	X	GRPR	X
Smim11	16	SMIM11A	21
Ighv1-59	12	IGHV1OR21-1	21
Edem2	2	EDEM2	20
Snrpb2	2	SNRPB2	20
Slc25a17	15	SLC25A17	22
Gm23378	X	RNU6-408P	18
Isca2	12	ISCA2	14
Grpel1	5	GRPEL1	4
Togaram1	12	TOGARAM1	14
Bex6	16	BEX4	X
