mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome
Ppp1r3d	2	PPP1R3D	20
Usp27x	X	USP27X	X
Defb34	8	DEFB127	20
Defb34	8	DEFB121	20
Blcap	2	BLCAP	20
Btbd3	2	BTBD3	20
Spata13	14		13
Spata13	14	SPATA13	13
Uprt	X	UPRT	X
Defb26	2	DEFB125	20
Gm24533	6		18
Gm24533	6	RNU105B	20
Fundc2	X	FUNDC2	X
Kcnj6	16	KCNJ6	21
H2al1j	X	H2AL3	X
0610040J01Rik	5	C4orf19	4
Sirpb1c	3		20
Sirpb1c	3	SIRPG	20
Pan3	5	PAN3	13
Limk2	11	LIMK2	22
Uhrf2	19	UHRF2	9
H2al1d	X	H2AL3	X
Mnat1	12	MNAT1	14
Glra2	X	GLRA2	X
Gabra3	X	GABRA3	X
Cytl1	5	CYTL1	4
6430550D23Rik	2	C20orf173	20
Tspo	15	TSPO	22
Il17ra	6	IL17RA	22
Chodl	16	CHODL	21
Krtap10-10	10	KRTAP10-6	21
Krtap10-10	10	KRTAP10-11	21
Akap6	12	AKAP6	14
Gm22540	9	RNU6-1242P	18
Exoc5	14	EXOC5	14
Cdh4	2	CDH4	20
Klhl4	X	KLHL4	X
Hdac8	X	HDAC8	X
Hdac8	X		X
Tspan7	X		X
Gga1	15	GGA1	22
Dyrk1a	16	DYRK1A	21
Dok6	18	DOK6	18
Gm22766	12	RNU6-1278P	18
Yes1	5	YES1	18
Cldn14	16	CLDN14	21
Sptlc3	2	SPTLC3	20
Chgb	2	CHGB	20
Phlpp1	1	PHLPP1	18
Ighv1-23	12	IGHV1OR21-1	21
Acbd7	2	ACBD7	10
Tent5d	X	TENT5D	X
H2al1a	X	H2AL3	X
Card10	15	CARD10	22
Mospd2	X	MOSPD2	X
Agpat3	10	AGPAT3	21
Ighv1-61	12	IGHV1OR21-1	21
Ncoa3	2	NCOA3	20
Tceal3	X	TCEAL5	X
Trappc10	10		21
Trappc10	10	TRAPPC10	21
Zfp78	7	ZNF337	20
Zfp78	7	KRBOX4	X
Psen1	12	PSEN1	14
Pcnx	12	PCNX1	14
Psma7	2	PSMA7	20
Brwd3	X	BRWD3	X
Zbtb7c	18	ZBTB7C	18
Itih5	2	ITIH5	10
Tmem33	5	TMEM33	4
Pfkfb1	X	PFKFB1	X
Ighv14-1	12	IGHV1OR21-1	21
Scp2d1	2	SCP2D1	20
Mtap	4	MTAP	9
Mtap	4		9
Hrh4	18	HRH4	18
Slc17a9	2	SLC17A9	20
Gm10024	10	KRTAP10-6	21
Ltn1	16	LTN1	21
Cmc4	X	CMC4	X
Atp5c1	2	ATP5F1C	10
Cnmd	14	CNMD	13
Rpl3	15	RPL3	22
Ss18	18	SS18	18
Pi4ka	16	PI4KA	22
Dmrta1	4	DMRTA1	9
Npc1	18	NPC1	18
Pibf1	14	PIBF1	13
Ighv1-34	12	IGHV1OR21-1	21
Mxd4	5	MXD4	4
Ighv1-16	12	IGHV1OR21-1	21
Trmt44	5	TRMT44	4
Arhgap6	X	ARHGAP6	X
Gm4924	10	ZNF721	4
Atp6ap2	X	ATP6AP2	X
Sirpa	2		20
Sirpa	2	SIRPG	20
Mis18a	16	MIS18A	21
Ifna14	4	IFNA16	9
Ifna14	4	IFNA2	9
Ifna14	4	IFNA6	9
Ifna14	4	IFNA13	9
Ifna14	4	IFNA7	9
Ifna14	4	IFNA17	9
Ighv1-4	12	IGHV1OR21-1	21
Pwwp4d	X	PWWP4	X
Rbm11	16	RBM11	21
Dtd1	2		20
Gm22809	7		21
Ninl	2	NINL	20
Sim2	16	SIM2	21
Itgb2l	16	ITGB2	21
Ighv3-8	12	IGHV4-34	14
Gm22114	1	RNU6-1146P	20
Cst7	2	CST7	20
Atp5o	16	ATP5PO	21
Atp5o	16		21
Tceal9	X	TCEAL9	X
Slc7a3	X	SLC7A3	X
Gm23093	11	RNU6-1242P	18
Apbb2	5	APBB2	4
Ighv1-15	12	IGHV1OR21-1	21
H2al1b	X	H2AL3	X
Jag1	2	JAG1	20
Ighv1-78	12	IGHV1OR21-1	21
Dcaf8l	X	DCAF8L1	X
Insl6	19	INSL6	9
Ighv1-55	12	IGHV1OR21-1	21
Krtap9-3	11	KRTAP10-11	21
Scml2	X	SCML2	X
Eda2r	X	EDA2R	X
Defb28	2	DEFB115	20
Pomp	5	POMP	13
Htr2c	X	HTR2C	X
Ncoa6	2	NCOA6	20
Gart	16	GART	21
Magee2	X	MAGEE2	X
	4	RN7SKP182	18
Psapl1	5	PSAPL1	4
Ifna5	4	IFNA16	9
Ifna5	4	IFNA2	9
Ifna5	4	IFNA6	9
Ifna5	4	IFNA13	9
Ifna5	4	IFNA7	9
Ifna5	4	IFNA17	9
U2af1	17	U2AF1	21
Ankrd16	2	ANKRD16	10
Ralbp1	17	RALBP1	18
Riok3	18	RIOK3	18
P2ry10	X	P2RY10	X
Kcnj15	16	KCNJ15	21
Chst7	X	CHST7	X
Rfc3	5	RFC3	13
Il1rapl1	X	IL1RAPL1	X
Adra1d	2	ADRA1D	20
Stk32b	5	STK32B	4
Txndc16	14	TXNDC16	14
Gm23650	2	SNORD56	20
Pla2g3	11	PLA2G3	22
4930415L06Rik	X	PPP4R3C	X
Jam2	16	JAM2	21
Ighv1-62-2	12	IGHV1OR21-1	21
Rbbp8nl	2	RBBP8NL	20
Morc3	16	MORC3	21
Pofut2	10	POFUT2	21
Pfkl	10	PFKL	21
Hao1	2	HAO1	20
Ighv1-75	12	IGHV1OR21-1	21
Gm25512	2	RNU6-228P	20
Gdf5	2	GDF5	20
AW554918	18	KIAA1328	18
Pttg1	11	PTTG2	4
Trmt6	2	TRMT6	20
Rps21	2	RPS21	20
Pdyn	2	PDYN	20
Slx4ip	2	SLX4IP	20
Ttll1	15	TTLL1	22
Mzt1	14	MZT1	13
Ltbp2	12	LTBP2	14
Ighv1-42	12	IGHV1OR21-1	21
Srsf5	12	SRSF5	14
Gm10318	10	KRTAP10-6	21
Gm10318	10	KRTAP10-11	21
Gm23199	X	RNU6-147P	20
Phka1	X	PHKA1	X
Trp53inp2	2	TP53INP2	20
Gm25054	6	RNU6-346P	18
Smu1	4	SMU1	9
Zcchc13	X	ZCCHC13	X
Kctd1	18	KCTD1	18
Gm22591	6	RNU6-919P	20
Setd4	16	SETD4	21
Tmem191c	16	TMEM191B	22
Mgat2	12	MGAT2	14
Ndufv3	17	NDUFV3	21
Gm23301	18	SNORD58A	18
Pnpla3	15	PNPLA3	22
Tgm3	2		20
Itsn1	16	ITSN1	21
Lrrc9	12	LRRC9	14
Prr32	X	PRR32	X
Scaf4	16	SCAF4	21
	13	RNU6-408P	18
Mageh1	X	MAGEH1	X
Cryzl1	16	CRYZL1	21
Smim11	16	SMIM11A	21
Iglc1	16	IGLC2	22
Iglc1	16	IGLL5	22
Iglc1	16	IGLL1	22
Iglc1	16	IGLC3	22
Iglc1	16	IGLC1	22
St8sia3	18	ST8SIA3	18
Slc25a51	4	SLC25A52	18
Gm25853	16		20
Sec23b	2	SEC23B	20
Otud6a	X	OTUD6A	X
Evc	5	EVC	4
Lipg	18	LIPG	18
Atxn10	15	ATXN10	22
Ywhab	2	YWHAB	20
Ighv1-62-3	12	IGHV1OR21-1	21
Icosl	10		21
Icosl	10	ICOSLG	21
Tceal7	X	TCEAL7	X
Lrrc3	10	LRRC3	21
S100g	X	S100G	X
Cxadr	16	CXADR	21
Vstm2l	2	VSTM2L	20
Ero1a	14	ERO1A	14
Grap2	15	GRAP2	22
Defb36	2	DEFB123	20
Upk3a	15	UPK3A	22
Defb19	2	DEFB119	20
Cd274	19	CD274	9
Rcl1	19	RCL1	9
Gm25577	12	RNU6-737P	18
Zfyve1	12	ZFYVE1	14
Slc25a47	12	SLC25A47	14
Wdr13	X	WDR13	X
Gm25322	1	RNU6-702P	18
Nudt10	X	NUDT11	X
Zbed4	15	ZBED4	22
Rbm25	12	RBM25	14
Fgf16	X	FGF16	X
Rimbp3	16	RIMBP3	22
Tomm34	2	TOMM34	20
Reps2	X	REPS2	X
Zbtb33	X	ZBTB33	X
Ripply3	16	RIPPLY3	21
Rnf4	5	RNF4	4
Pde9a	17	PDE9A	21
Cdkl5	X	CDKL5	X
Gm19402	10	KRTAP10-6	21
Gm19402	10	KRTAP10-11	21
Pds5a	5	PDS5A	4
Styx	14	STYX	14
Gpcpd1	2	GPCPD1	20
Gm24374	10	RNU6-123P	21
Pcnx4	12	PCNX4	14
Cndp2	18	CNDP2	18
Gm24031	14		20
Ifna13	4	IFNA16	9
Ifna13	4	IFNA2	9
Ifna13	4	IFNA6	9
Ifna13	4	IFNA13	9
Ifna13	4	IFNA7	9
Ifna13	4	IFNA17	9
Ttll12	15	TTLL12	22
Psmc1	12	PSMC1	14
Krtap27-1	16	KRTAP27-1	21
Fbxo15	18	FBXO15	18
Taf4b	18	TAF4B	18
Zbtb14	17	ZBTB14	18
Adamts1	16	ADAMTS1	21
Cdc42bpb	12	CDC42BPB	14
Fancm	12	FANCM	14
Pygb	2	PYGB	20
4930447C04Rik	12	C14orf39	14
Spata7	12	SPATA7	14
Shroom2	X	SHROOM2	X
Rln1	19	RLN1	9
H2al2c	Y	H2AL3	X
Gm22603	11		21
App	16	APP	21
Tnip2	5	TNIP2	4
Slc1a1	19	SLC1A1	9
Abcg1	17	ABCG1	21
Rae1	2	RAE1	20
Clcn5	X	CLCN5	X
Pigp	16	PIGP	21
Gm19668	10	KRTAP10-6	21
Gm19668	10	KRTAP10-11	21
Cpz	5	CPZ	4
Tspear	10	TSPEAR	21
9930021J03Rik	19	KIAA2026	9
Xlr5c	X	FAM9B	X
Xlr5c	X	FAM9C	X
Xlr5c	X	FAM9A	X
Pkdrej	15	PKDREJ	22
Gm24928	16	RNU6-497P	20
Rbl1	2	RBL1	20
Sec61a2	2	SEC61A2	10
Gm9508	10	KRTAP10-6	21
Gm9508	10	KRTAP10-11	21
Cited1	X	CITED1	X
Ighv1-66	12	IGHV1OR21-1	21
Nbdy	X	NBDY	X
Defb20	2	DEFB128	20
Tfe3	X	TFE3	X
Slitrk4	X	SLITRK4	X
Gm23706	16	SNORD86	20
Bex4	X	BEX4	X
Ada	2	ADA	20
Zfp518b	5	ZNF518B	4
Ttc39b	4	TTC39B	9
Ccdc85c	12	CCDC85C	14
Cnksr2	X	CNKSR2	X
Rhoj	12	RHOJ	14
Rnf17	14	RNF17	13
Fam243	16	FAM243A	21
Rp2	X	RP2	X
Slc25a29	12	SLC25A29	14
Pwwp4b	X	PWWP4	X
Ndrg3	2	NDRG3	20
Bmp2	2	BMP2	20
Ankrd60	2	ANKRD60	20
Runx1	16	RUNX1	21
Rock1	18	ROCK1	18
Ep300	15	EP300	22
Cct8l1	5	CCT8L2	22
Fbxo7	10	FBXO7	22
Gtse1	15	GTSE1	22
Xlr5a	X	FAM9B	X
Xlr5a	X	FAM9C	X
Xlr5a	X	FAM9A	X
Gm42791	5	KATNAL1	13
Bex3	X	BEX3	X
Ifna2	4	IFNA16	9
Ifna2	4	IFNA2	9
Ifna2	4	IFNA6	9
Ifna2	4	IFNA13	9
Ifna2	4	IFNA7	9
Ifna2	4	IFNA17	9
Rprd1a	18	RPRD1A	18
Ptchd1	X	PTCHD1	X
Serpinb10	1	SERPINB10	18
Ipo5	14	IPO5	13
Pknox1	17	PKNOX1	21
Cst10	2	CST3	20
Rbm3	X	RBM3	X
Bpifb1	2	BPIFB1	20
S100b	10	S100B	21
Sfi1	11	SFI1	22
Frem2	3	FREM2	13
Akap4	X	AKAP4	X
Ighv1-54	12	IGHV1OR21-1	21
Catsperb	12	CATSPERB	14
Cpxcr1	X	CPXCR1	X
Pim3	15	PIM3	22
Gm25402	6		20
Tmem184b	15	TMEM184B	22
Nudt5	2	NUDT5	10
Ap5m1	14	AP5M1	14
Tpgs2	18	TPGS2	18
Nrip1	16	NRIP1	21
Mir99a	16	MIR99A	21
Fermt2	14	FERMT2	14
Gtf2f2	14	GTF2F2	13
Snord58b	18	SNORD58B	18
Ighv1-7	12	IGHV1OR21-1	21
4931417E11Rik	6	JKAMP	14
Erich6b	14	ERICH6B	13
Ttc38	15	TTC38	22
Ighv1-50	12	IGHV1OR21-1	21
Tpte	8	TPTE	21
Mtcp1	X	MTCP1	X
Dcaf12l1	X	DCAF12L2	X
Lgals1	15	LGALS1	22
Prdm15	16	PRDM15	21
Eola1	X	EOLA2	X
Eola1	X	EOLA1	X
Pir	X	PIR	X
Zfp521	18	ZNF521	18
Psmg1	16	PSMG1	21
Gm7137	10	KRTAP10-6	21
Gm7137	10	KRTAP10-11	21
Bmp7	2	BMP7	20
Phactr3	2	PHACTR3	20
Egln3	12	EGLN3	14
Htatsf1	X	HTATSF1	X
Cubn	2	CUBN	10
Pfkfb3	2	PFKFB3	10
Pfdn4	2	PFDN4	20
Oprl1	2	OPRL1	20
Ifna4	4	IFNA16	9
Ifna4	4	IFNA2	9
Ifna4	4	IFNA6	9
Ifna4	4	IFNA13	9
Ifna4	4	IFNA7	9
Ifna4	4	IFNA17	9
Cep128	12	CEP128	14
Aff2	X	AFF2	X
Cldn8	16	CLDN8	21
Rtl3	X	RTL3	X
Magee1	X	MAGEE1	X
Fam83d	2	FAM83D	20
Defb15	8	DEFB127	20
Defb15	8	DEFB121	20
Atg4a-ps	3	ATG4A	X
Rgs19	2	RGS19	20
Gm3233	10	KRTAP10-6	21
Gm3233	10	KRTAP10-11	21
Tm9sf2	14	TM9SF2	13
Ifna6	4	IFNA16	9
Ifna6	4	IFNA2	9
Ifna6	4	IFNA6	9
Ifna6	4	IFNA13	9
Ifna6	4	IFNA7	9
Ifna6	4	IFNA17	9
Bex1	X	BEX1	X
Elp2	18	ELP2	18
Elfn2	15	ELFN2	22
Rps6ka6	X	RPS6KA6	X
Jade3	X	JADE3	X
Sik1	17	SIK1B	21
Sik1	17	SIK1	21
Arhgef6	X	ARHGEF6	X
Cdc37l1	19	CDC37L1	9
Osm	11	OSM	22
Spo11	2	SPO11	20
Ifna12	4	IFNA16	9
Ifna12	4	IFNA2	9
Ifna12	4	IFNA6	9
Ifna12	4	IFNA13	9
Ifna12	4	IFNA7	9
Ifna12	4	IFNA17	9
Sirpb1b	3		20
Sirpb1b	3	SIRPG	20
Corin	5	CORIN	4
Wfdc5	2	WFDC5	20
Mthfd1	12	MTHFD1	14
Commd8	5	COMMD8	4
Zcchc2	1	ZCCHC2	18
Gm25079	16		18
Hopx	5	HOPX	4
Akap5	12	AKAP5	14
Gpr12	5	GPR12	13
Il1rapl2	X	IL1RAPL2	X
Samd10	2	SAMD10	20
Kcnb1	2	KCNB1	20
Suv39h2	2	SUV39H2	10
Bpifb3	2	BPIFB3	20
Gpr137c	14	GPR137C	14
Ppp1r16b	2	PPP1R16B	20
Npepl1	2	NPEPL1	20
Dstn	2	DSTN	20
Xlr5b	X	FAM9B	X
Xlr5b	X	FAM9C	X
Xlr5b	X	FAM9A	X
Gm36176	10	KRTAP10-6	21
Gm36176	10	KRTAP10-11	21
Dym	18	DYM	18
Kcnip4	5	KCNIP4	4
Rab22a	2	RAB22A	20
Lhfp	3	LHFPL6	13
Cenpc1	5	CENPC	4
Peli2	14	PELI2	14
Cerk	15	CERK	22
Stk35	2	STK35	20
Tcf4	18	TCF4	18
Hdx	X	HDX	X
Mcat	15	MCAT	22
Ncam2	16	NCAM2	21
Ighv1-62-1	12	IGHV1OR21-1	21
Pdxp	15	PDXP	22
Brwd1	16	BRWD1	21
Cst3	2	CST3	20
Magea13	X	MAGEC2	X
Magea13	X	MAGEC3	X
Magea13	X	MAGEA8	X
Magea13	X	MAGEA11	X
Magea13	X	MAGEC1	X
Atp5a1	18	ATP5F1A	18
Alg12	15	ALG12	22
Zdhhc15	X	ZDHHC15	X
Ctps2	X	CTPS2	X
Chaf1b	16	CHAF1B	21
Mrps6	16	MRPS6	21
Kcnh5	12	KCNH5	14
Ighv12-3	12	IGHV4-34	14
Gabrb1	5	GABRB1	4
Dip2a	10	DIP2A	21
Tubb1	2	TUBB1	20
Gm40460	7	KRTAP10-6	21
Gm40460	7	KRTAP10-11	21
Dcaf4	12	DCAF4	14
Uqcc1	2	UQCC1	20
Defb21	2	DEFB118	20
Rnf125	18	RNF125	18
Cbln4	2	CBLN4	20
Cd40lg	X	CD40LG	X
Ppp6r2	15	PPP6R2	22
Svs2	2	SEMG2	20
Svs2	2	SEMG1	20
Gm527	12	C14orf28	14
Ucn3	13	UCN3	10
Sox18	2	SOX18	20
Slc39a6	18	SLC39A6	18
Gm24163	13		20
H2al1h	X	H2AL3	X
Rab31	17	RAB31	18
Ifnab	4	IFNA16	9
Ifnab	4	IFNA2	9
Ifnab	4	IFNA6	9
Ifnab	4	IFNA13	9
Ifnab	4	IFNA7	9
Ifnab	4	IFNA17	9
Sh3bgr	16	GET1-SH3BGR	21
Myt1	2	MYT1	20
Ttr	18	TTR	18
Dennd6b	15	DENND6B	22
Mbp	18	MBP	18
Rnf128	X	RNF128	X
Gm22960	13	RNU6-614P	21
Gm22960	13	RNU6-721P	18
Tbc1d14	5	TBC1D14	4
Gm45015	X	PNMA6F	X
Gm45015	X	PNMA6E	X
Trdc	14	TRDC	14
Fancb	X	FANCB	X
Snrpb2	2	SNRPB2	20
Adamts5	16	ADAMTS5	21
Gm18336	X	PNMA6F	X
Gm18336	X	PNMA6E	X
Gm9736	10	KRTAP10-6	21
Gm9736	10	KRTAP10-11	21
Gm22739	10	RNU1-139P	21
Usp11	X	USP11	X
Fam83f	15	FAM83F	22
Dscam	16	DSCAM	21
Gm20458	2	SYS1-DBNDD2	20
Rpp38	2	RPP38	10
Slc14a1	18	SLC14A1	18
Mapk4	18	MAPK4	18
Slc5a3	16	SLC5A3	21
Nubpl	12	NUBPL	14
Hmx1	5	HMX1	4
Ankrd12	17	ANKRD12	18
Ctif	18	CTIF	18
	8	RN7SKP147	21
Tbc1d4	14	TBC1D4	13
Med14	X	MED14	X
Gm14692	X	FAM9B	X
Gm14692	X	FAM9C	X
Gm14692	X	FAM9A	X
Rbbp8	18	RBBP8	18
Vpreb3	10	VPREB3	22
Map1lc3a	2	MAP1LC3A	20
Ripply1	X	RIPPLY1	X
Bpifb2	2	BPIFB2	20
Ccdc3	2	CCDC3	10
Rax	18	RAX	18
Pbdc1	X	PBDC1	X
Asmt	X	ASMT	X
Slc25a43	X	SLC25A43	X
Rnf152	1	RNF152	18
Dip2c	13	DIP2C	10
Serp2	14	SERP2	13
Angpt4	2	ANGPT4	20
Gm26055	12	RNU6-1038P	18
Pla2g6	15	PLA2G6	22
Ighv1-69	12	IGHV1OR21-1	21
Ripor3	2	RIPOR3	20
Spry2	14	SPRY2	13
Cdh22	2	CDH22	20
Pcbp3	10	PCBP3	21
Ggt7	2	GGT7	20
Tsr2	X	TSR2	X
Lrr1	12	LRR1	14
Slc35e4	11	SLC35E4	22
Unc79	12	UNC79	14
Ighv1-49	12	IGHV1OR21-1	21
Sh3kbp1	X	SH3KBP1	X
Ighv1-5	12	IGHV1OR21-1	21
Fbln1	15	FBLN1	22
Sun5	2	SUN5	20
