human_gene_symbol	human_chromosome	entity_type	category	parent	consensus_score	is_cs	database_cs	is_tf	database_tf
AAR2	20	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
AARD	8	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
AARS1	16	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, LOCATE, GO_Intercell	FALSE	NA
AARS2	6	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, GO_Intercell, ComPPI	FALSE	NA
AARSD1	17	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
AASDH	4	protein	transmembrane_tmhmm, transmembrane_predicted, transmembrane_phobius, intracellular, transmembrane, transmembrane_sosui	transmembrane_predicted, transmembrane, intracellular	3	TRUE	Almen2009, OmniPath, ComPPI	FALSE	NA
AASDHPPT	11	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, LOCATE, ComPPI, GO_Intercell	FALSE	NA
AASS	7	protein	intracellular	intracellular	3	FALSE	ComPPI, LOCATE, UniProt, GO_Intercell, OmniPath	FALSE	NA
AATF	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, UniProt, ComPPI, LOCATE, OmniPath	TRUE	SIGNOR
AATK	17	protein	transmembrane_predicted, receptor, transmembrane_sosui, intracellular, tyrosine_kinase, transmembrane_phobius, transmembrane	transmembrane, receptor, transmembrane_predicted, intracellular	5	TRUE	OmniPath, Almen2009, UniProt, HGNC, scConnect, SignaLink_function, Phobius, ComPPI, GO_Intercell, Ramilowski_location	FALSE	NA
ABAT	16	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, ComPPI, OmniPath, scConnect, UniProt	FALSE	NA
ABCA1	9	protein	intracellular, transmembrane, extracellular, plasma_membrane, cell_surface_ligand, abc, transporter, cell_surface, active, abca	intracellular, transmembrane_predicted, extracellular, transmembrane, plasma_membrane, cell_surface_ligand, transporter, cell_surface	7	TRUE	OmniPath, Phobius, GO_Intercell, TopDB, UniProt, DGIdb, Baccin2019, CellPhoneDB, Cellinker, ComPPI, LOCATE, connectomeDB2020, Surfaceome, Ramilowski_location	FALSE	NA
ABCA12	2	protein	intracellular, transmembrane, transporter, cell_surface, abca, abc, active	intracellular, transmembrane, transporter, transmembrane_predicted, cell_surface	6	TRUE	GO_Intercell, UniProt, DGIdb, TopDB, ComPPI, Surfaceome, Phobius, OmniPath, Ramilowski_location, LOCATE	FALSE	NA
ABCA13	7	protein	abca, transmembrane, abc, transporter, receptor, intracellular, cell_surface, active	transporter, transmembrane, receptor, intracellular, cell_surface, transmembrane_predicted	5	TRUE	Almen2009, OmniPath, DGIdb, Ramilowski_location, UniProt, Surfaceome, scConnect, GO_Intercell, ComPPI, LOCATE, Phobius	FALSE	NA
ABCA2	9	protein	transmembrane, intracellular, active, transporter, receptor, abca	transmembrane, intracellular, transporter, receptor, transmembrane_predicted	5	TRUE	UniProt, GO_Intercell, LOCATE, Surfaceome, OmniPath, ComPPI, Ramilowski_location, Phobius, scConnect	FALSE	NA
ABCA3	16	protein	intracellular, transmembrane, transporter, cell_surface, active, abca, receptor, abc	intracellular, transmembrane, transporter, cell_surface, receptor, transmembrane_predicted	5	TRUE	OmniPath, Surfaceome, DGIdb, Ramilowski_location, UniProt, ComPPI, GO_Intercell, OPM, scConnect, Phobius	FALSE	NA
ABCA4	1	protein	intracellular, transmembrane, active, transporter, cell_surface, receptor, abca	intracellular, transmembrane, transporter, cell_surface, receptor, transmembrane_predicted	5	TRUE	GO_Intercell, UniProt, Surfaceome, TopDB, OmniPath, scConnect, Phobius, Ramilowski_location, ComPPI	FALSE	NA
ABCA5	17	protein	transmembrane, intracellular, abca, receptor, transporter, plasma_membrane, active	transmembrane, intracellular, transporter, receptor, transmembrane_predicted, plasma_membrane	5	TRUE	UniProt, ComPPI, GO_Intercell, Surfaceome, scConnect, Phobius, OmniPath, Ramilowski_location, LOCATE	FALSE	NA
ABCA6	17	protein	transmembrane, transporter, abc, intracellular, receptor, cell_surface, abca, active	transmembrane_predicted, transporter, transmembrane, intracellular, receptor, cell_surface	5	TRUE	Phobius, DGIdb, UniProt, Surfaceome, OmniPath, scConnect, Ramilowski_location, Almen2009, ComPPI, TopDB, GO_Intercell	FALSE	NA
ABCA7	19	protein	plasma_membrane, transporter, intracellular, transmembrane, cell_surface, abca, plasma_membrane_transmembrane, active, abc	plasma_membrane, transporter, intracellular, transmembrane, cell_surface, plasma_membrane_transmembrane, transmembrane_predicted	6	TRUE	UniProt, Surfaceome, GO_Intercell, ComPPI, OmniPath, Almen2009, Ramilowski_location, Phobius, CSPA, DGIdb, LOCATE	FALSE	NA
ABCA8	17	protein	transmembrane, cell_surface, intracellular, transporter, plasma_membrane, receptor, plasma_membrane_transmembrane, abc, abca, basolateral_cell_membrane, active	transmembrane, transmembrane_predicted, cell_surface, intracellular, transporter, plasma_membrane, receptor, plasma_membrane_transmembrane	5	TRUE	Ramilowski_location, Phobius, OmniPath, UniProt, TopDB, Surfaceome, GO_Intercell, CSPA, DGIdb, Almen2009, scConnect	FALSE	NA
ABCA9	17	protein	transporter, receptor, abca, transmembrane, cell_surface, intracellular, active, abc	transporter, receptor, transmembrane, cell_surface, intracellular, transmembrane_predicted	5	TRUE	OmniPath, scConnect, Surfaceome, Ramilowski_location, Almen2009, ComPPI, GO_Intercell, UniProt, DGIdb, TopDB, Phobius	FALSE	NA
ABCB1	7	protein	intracellular, transmembrane, plasma_membrane_transmembrane, plasma_membrane, transporter, cell_surface, active, abcb, abc, receptor, apical_cell_membrane	intracellular, transmembrane, plasma_membrane_transmembrane, plasma_membrane, transporter, transmembrane_predicted, cell_surface, receptor	7	TRUE	OmniPath, TopDB, Ramilowski_location, LOCATE, DGIdb, UniProt, CSPA, ComPPI, Phobius, Surfaceome, scConnect, GO_Intercell, OPM	FALSE	NA
ABCB10	1	protein	receptor, transmembrane, intracellular	receptor, transmembrane_predicted, transmembrane, intracellular	6	TRUE	OmniPath, Phobius, scConnect, UniProt, GO_Intercell, LOCATE, ComPPI, Ramilowski_location, TopDB	FALSE	NA
ABCB11	2	protein	transmembrane, abc, apical_cell_membrane, transporter, intracellular, cell_surface, receptor, active, abcb, plasma_membrane	transmembrane, transporter, plasma_membrane, intracellular, cell_surface, transmembrane_predicted, receptor	6	TRUE	LOCATE, DGIdb, UniProt, OmniPath, Phobius, Surfaceome, Ramilowski_location, GO_Intercell, scConnect, TopDB	FALSE	NA
ABCB4	7	protein	plasma_membrane, intracellular, transmembrane, transporter, apical_cell_membrane, abcb, cell_surface, receptor, abc, active	plasma_membrane, intracellular, transmembrane, transporter, cell_surface, receptor, transmembrane_predicted	6	TRUE	OmniPath, GO_Intercell, UniProt, DGIdb, OPM, Surfaceome, ComPPI, scConnect, Ramilowski_location, LOCATE, Phobius	FALSE	NA
ABCB5	7	protein	transmembrane, receptor, transporter, abcb, plasma_membrane, cell_surface, active, abc	transmembrane, receptor, transporter, plasma_membrane, cell_surface, transmembrane_predicted	5	TRUE	UniProt, OmniPath, Surfaceome, DGIdb, scConnect, Ramilowski_location, Phobius, LOCATE	FALSE	NA
ABCB6	2	protein	transporter, secreted, receptor, intracellular, transmembrane, plasma_membrane, abc, extracellular	transporter, secreted, receptor, intracellular, transmembrane_predicted, transmembrane, plasma_membrane, extracellular	5	TRUE	DGIdb, OmniPath, scConnect, Phobius, ComPPI, UniProt, Ramilowski_location, LOCATE, GO_Intercell	FALSE	NA
ABCB7	X	protein	transmembrane, receptor, intracellular	transmembrane, transmembrane_predicted, receptor, intracellular	5	TRUE	Ramilowski_location, Phobius, scConnect, OmniPath, GO_Intercell, UniProt, LOCATE, ComPPI	FALSE	NA
ABCB8	7	protein	transmembrane, intracellular, receptor	transmembrane, intracellular, transmembrane_predicted, receptor	5	TRUE	OmniPath, LOCATE, Phobius, GO_Intercell, scConnect, UniProt, Ramilowski_location, ComPPI	FALSE	NA
ABCB9	12	protein	active, abcb, transmembrane, intracellular, receptor, transporter	transporter, transmembrane, transmembrane_predicted, intracellular, receptor	5	TRUE	Surfaceome, OmniPath, Phobius, UniProt, LOCATE, ComPPI, scConnect, Ramilowski_location, GO_Intercell	FALSE	NA
ABCC1	16	protein	abcc, transmembrane, transporter, active, abc, cell_surface, plasma_membrane_transmembrane, intracellular, receptor, plasma_membrane	transporter, transmembrane, cell_surface, transmembrane_predicted, plasma_membrane_transmembrane, intracellular, receptor, plasma_membrane	6	TRUE	HGNC, LOCATE, OmniPath, Surfaceome, DGIdb, UniProt, Phobius, CSPA, scConnect, Ramilowski_location, Almen2009, TopDB	FALSE	NA
ABCC10	6	protein	intracellular, transporter, abcc, transmembrane, basolateral_cell_membrane, abc, receptor, active, plasma_membrane, cell_surface	intracellular, transporter, transmembrane, plasma_membrane, receptor, transmembrane_predicted, cell_surface	4	TRUE	ComPPI, DGIdb, HGNC, Ramilowski_location, OmniPath, UniProt, Surfaceome, Almen2009, scConnect, Phobius, GO_Intercell	FALSE	NA
ABCC12	16	protein	receptor, active, transmembrane, transporter, abcc, cell_surface, intracellular, abc	receptor, transporter, transmembrane_predicted, cell_surface, transmembrane, intracellular	4	TRUE	OmniPath, Surfaceome, Phobius, HGNC, UniProt, Almen2009, Ramilowski_location, DGIdb, scConnect, GO_Intercell	FALSE	NA
ABCC2	10	protein	transporter, transmembrane, receptor, cell_surface, abcc, active, apical_cell_membrane, plasma_membrane, abc	transporter, transmembrane, receptor, cell_surface, plasma_membrane, transmembrane_predicted	5	TRUE	Surfaceome, UniProt, OmniPath, Almen2009, scConnect, LOCATE, DGIdb, HGNC, Ramilowski_location, Phobius	FALSE	NA
ABCC3	17	protein	transmembrane, abcc, active, transporter, abc, basolateral_cell_membrane, cell_surface, plasma_membrane, receptor	transmembrane, transporter, plasma_membrane, transmembrane_predicted, cell_surface, receptor	5	TRUE	Ramilowski_location, Surfaceome, LOCATE, OmniPath, HGNC, UniProt, DGIdb, Phobius, Almen2009, scConnect	FALSE	NA
ABCC4	13	protein	transporter, transmembrane, intracellular, abcc, receptor, apical_cell_membrane, plasma_membrane, basolateral_cell_membrane, active, cell_surface, abc	transporter, transmembrane, intracellular, receptor, plasma_membrane, transmembrane_predicted, cell_surface	5	TRUE	DGIdb, Ramilowski_location, LOCATE, GO_Intercell, HGNC, UniProt, Surfaceome, OmniPath, Almen2009, ComPPI, Phobius, scConnect	FALSE	NA
ABCC5	3	protein	intracellular, cell_surface, transmembrane, abcc, transporter, basolateral_cell_membrane, active, receptor, apical_cell_membrane, plasma_membrane, abc	intracellular, cell_surface, transmembrane, transporter, transmembrane_predicted, plasma_membrane, receptor	5	TRUE	OmniPath, Ramilowski_location, UniProt, GO_Intercell, HGNC, Phobius, Surfaceome, ComPPI, DGIdb, LOCATE, scConnect	FALSE	NA
ABCC6	16	protein	abcc, intracellular, abc, transmembrane, receptor, plasma_membrane, transporter, basolateral_cell_membrane	transporter, intracellular, transmembrane, receptor, plasma_membrane, transmembrane_predicted	6	TRUE	HGNC, UniProt, DGIdb, OmniPath, ComPPI, LOCATE, TopDB, scConnect, Almen2009, GO_Intercell, Ramilowski_location, Phobius	FALSE	NA
ABCC8	11	protein	abcc, receptor, transporter, intracellular, transmembrane, abc, plasma_membrane	transporter, receptor, intracellular, transmembrane, transmembrane_predicted, plasma_membrane	7	TRUE	HGNC, scConnect, OmniPath, GO_Intercell, LOCATE, Phobius, UniProt, ComPPI, DGIdb, Ramilowski_location, Almen2009, TopDB, CellCellInteractions	FALSE	NA
ABCC9	12	protein	transporter, receptor, transmembrane, abcc, intracellular, abc, cell_surface, active	transporter, receptor, transmembrane_predicted, transmembrane, intracellular, cell_surface	6	TRUE	DGIdb, OmniPath, Phobius, UniProt, scConnect, Ramilowski_location, Almen2009, LOCATE, ComPPI, HGNC, GO_Intercell, Surfaceome, CellCellInteractions	FALSE	NA
ABCD1	X	protein	receptor, transmembrane, intracellular	receptor, transmembrane, intracellular, transmembrane_predicted	5	TRUE	OmniPath, UniProt, ComPPI, scConnect, GO_Intercell, LOCATE, Ramilowski_location, Phobius	FALSE	NA
ABCD2	12	protein	intracellular, receptor, transmembrane	intracellular, receptor, transmembrane, transmembrane_predicted	5	TRUE	UniProt, OmniPath, Ramilowski_location, LOCATE, Phobius, scConnect, GO_Intercell, ComPPI	FALSE	NA
ABCD3	1	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, transmembrane_predicted, receptor	5	TRUE	LOCATE, OmniPath, UniProt, Phobius, ComPPI, Ramilowski_location, scConnect, GO_Intercell	FALSE	NA
ABCD4	14	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	ComPPI, LOCATE, UniProt, Phobius, GO_Intercell, Ramilowski_location, OmniPath	FALSE	NA
ABCE1	4	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, UniProt, GO_Intercell	FALSE	NA
ABCF1	6	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
ABCF2	7	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
ABCF3	3	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
ABCG1	21	protein	intracellular, abcg, transporter, plasma_membrane, transmembrane, receptor, extracellular	intracellular, transporter, plasma_membrane, transmembrane, receptor, extracellular, transmembrane_predicted	5	TRUE	LOCATE, HGNC, ComPPI, OmniPath, UniProt, Ramilowski_location, GO_Intercell, scConnect, DGIdb, Phobius	FALSE	NA
ABCG2	4	protein	abcg, intracellular, transmembrane, transporter, cell_surface, extracellular, abc, active, plasma_membrane, receptor, apical_cell_membrane	transporter, intracellular, transmembrane, cell_surface, extracellular, plasma_membrane, transmembrane_predicted, receptor	6	TRUE	Surfaceome, LOCATE, TopDB, UniProt, DGIdb, OmniPath, HGNC, Phobius, Ramilowski_location, GO_Intercell, ComPPI, Almen2009, scConnect	FALSE	NA
ABCG4	11	protein	transporter, intracellular, receptor, cell_surface, transmembrane, abcg, active, plasma_membrane, extracellular	transporter, intracellular, receptor, cell_surface, transmembrane, transmembrane_predicted, plasma_membrane, extracellular	4	TRUE	HGNC, GO_Intercell, scConnect, Surfaceome, OmniPath, Ramilowski_location, UniProt, Phobius, Almen2009	FALSE	NA
ABCG5	2	protein	cell_surface, transmembrane, transporter, plasma_membrane, abcg, intracellular, active, extracellular, apical_cell_membrane, abc	cell_surface, transmembrane, transporter, plasma_membrane, intracellular, extracellular, transmembrane_predicted	5	TRUE	OmniPath, UniProt, DGIdb, Surfaceome, LOCATE, HGNC, Ramilowski_location, Almen2009, ComPPI, Phobius	FALSE	NA
ABCG8	2	protein	intracellular, apical_cell_membrane, transporter, transmembrane, abc, abcg, plasma_membrane	intracellular, plasma_membrane, transporter, transmembrane, transmembrane_predicted	5	TRUE	ComPPI, UniProt, HGNC, LOCATE, DGIdb, OmniPath, Ramilowski_location, Phobius, Almen2009	FALSE	NA
ABHD1	2	protein	transmembrane, transmembrane_phobius, transmembrane_sosui, transmembrane_predicted	transmembrane, transmembrane_predicted	5	TRUE	UniProt, Almen2009, OmniPath, Ramilowski_location, Phobius	FALSE	NA
ABHD10	3	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
ABHD11	7	protein	intracellular	intracellular	2	FALSE	ComPPI, GO_Intercell, OmniPath	FALSE	NA
ABHD12	20	protein	transmembrane, transmembrane_predicted, intracellular, transmembrane_phobius, transmembrane_tmhmm, receptor, transmembrane_sosui	transmembrane, intracellular, transmembrane_predicted, receptor	5	TRUE	UniProt, OmniPath, Almen2009, Phobius, GO_Intercell, Ramilowski_location, scConnect	FALSE	NA
ABHD12B	14	protein	transmembrane, intracellular	transmembrane, intracellular	2	TRUE	Ramilowski_location, GO_Intercell, OmniPath, ComPPI	FALSE	NA
ABHD13	13	protein	transmembrane, intracellular, transmembrane_predicted, transmembrane_sosui, transmembrane_tmhmm	transmembrane, intracellular, transmembrane_predicted	5	TRUE	OmniPath, GO_Intercell, UniProt, Phobius, Almen2009, Ramilowski_location	FALSE	NA
ABHD14A	3	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	TRUE	ComPPI, Ramilowski_location, OmniPath, GO_Intercell, UniProt, Phobius, LOCATE	FALSE	NA
ABHD14B	3	protein	intracellular	intracellular	3	FALSE	ComPPI, UniProt, OmniPath, GO_Intercell	FALSE	NA
ABHD15	17	protein	secreted, intracellular	secreted, intracellular	3	FALSE	UniProt, ComPPI, OmniPath, HPA_secretome	FALSE	NA
ABHD16A	6	protein	transmembrane	transmembrane, transmembrane_predicted	4	TRUE	UniProt, OmniPath, Ramilowski_location, Phobius	FALSE	NA
ABHD16B	20	protein	intracellular	intracellular	1	FALSE	OmniPath, GO_Intercell	FALSE	NA
ABHD17A	19	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
ABHD17B	9	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ABHD17C	15	protein	intracellular	intracellular	2	FALSE	UniProt, OmniPath, GO_Intercell	FALSE	NA
ABHD18	4	protein	transmembrane, intracellular, secreted	transmembrane, intracellular, secreted	2	TRUE	OmniPath, UniProt, Ramilowski_location, ComPPI	FALSE	NA
ABHD2	15	protein	transmembrane, plasma_membrane, intracellular, transmembrane_phobius, receptor, transmembrane_predicted, transmembrane_sosui	transmembrane, plasma_membrane, intracellular, transmembrane_predicted, receptor	5	TRUE	OmniPath, Ramilowski_location, Almen2009, GO_Intercell, UniProt, Phobius, ComPPI, scConnect	FALSE	NA
ABHD3	18	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	4	TRUE	Ramilowski_location, UniProt, OmniPath, Phobius, ComPPI	FALSE	NA
ABHD4	14	protein	intracellular	intracellular	2	FALSE	OmniPath, ComPPI, GO_Intercell	FALSE	NA
ABHD5	3	protein	intracellular, transmembrane	intracellular, transmembrane	3	TRUE	OmniPath, GO_Intercell, ComPPI, Ramilowski_location, UniProt	FALSE	NA
ABHD6	3	protein	intracellular, transmembrane, receptor, transmembrane_phobius, transmembrane_sosui, transmembrane_tmhmm, transmembrane_predicted	intracellular, transmembrane, receptor, transmembrane_predicted	5	TRUE	GO_Intercell, Ramilowski_location, UniProt, scConnect, ComPPI, Almen2009, OmniPath, Phobius	FALSE	NA
ABHD8	19	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
ABI1	10	protein	intracellular, intracellular_intercellular_related, adhesion_cytoskeleton_adaptor	intracellular, intracellular_intercellular_related	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI, Adhesome	FALSE	NA
ABI2	2	protein	intracellular, adhesion_cytoskeleton_adaptor, intracellular_intercellular_related	intracellular, intracellular_intercellular_related	3	FALSE	ComPPI, LOCATE, GO_Intercell, Adhesome, OmniPath, UniProt	FALSE	NA
ABI3	17	protein	intracellular, intracellular_intercellular_related, adhesion_cytoskeleton_adaptor	intracellular, intracellular_intercellular_related	3	FALSE	GO_Intercell, LOCATE, ComPPI, OmniPath, UniProt, Adhesome	FALSE	NA
ABI3BP	3	protein	ecm, secreted, intracellular, matrix_adhesion, glycoprotein, adhesion	ecm, secreted, intracellular, matrix_adhesion, adhesion	3	TRUE	OmniPath, UniProt, ComPPI, Zhong2015, Matrisome, HPA_secretome, MatrixDB, GO_Intercell, CellCellInteractions	FALSE	NA
ABITRAM	9	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, ComPPI, GO_Intercell	FALSE	NA
ABL1	9	protein	intracellular, receptor	intracellular, receptor	3	FALSE	GO_Intercell, LOCATE, UniProt, ComPPI, OmniPath, scConnect	TRUE	CollecTRI;TRRUST_CollecTRI;GOA_CollecTRI
ABL2	1	protein	intracellular, receptor	intracellular, receptor	3	FALSE	ComPPI, UniProt, LOCATE, GO_Intercell, OmniPath, scConnect	FALSE	NA
ABLIM1	10	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
ABLIM2	4	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
ABLIM3	5	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABO	9	protein	transmembrane, transmembrane_sosui, extracellular, secreted, intracellular, transmembrane_phobius, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted, extracellular, secreted, intracellular	7	TRUE	UniProt, Almen2009, OmniPath, Phobius, ComPPI, LOCATE, GO_Intercell, TopDB, Ramilowski_location	FALSE	NA
ABR	17	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
ABRA	8	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, OmniPath, UniProt	FALSE	NA
ABRACL	6	protein	intracellular	intracellular	1	FALSE	ComPPI, OmniPath	FALSE	NA
ABRAXAS1	4	protein	intracellular	intracellular	3	FALSE	UniProt, GO_Intercell, OmniPath, ComPPI	FALSE	NA
ABRAXAS2	10	protein	intracellular	intracellular	3	FALSE	ComPPI, OmniPath, UniProt, GO_Intercell	FALSE	NA
ABT1	6	protein	intracellular	intracellular	3	FALSE	OmniPath, ComPPI, GO_Intercell, UniProt	FALSE	NA
ABTB1	3	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, GO_Intercell, OmniPath	FALSE	NA
ABTB2	11	protein	intracellular	intracellular	1	FALSE	OmniPath, ComPPI	FALSE	NA
ACAA1	3	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	3	TRUE	OmniPath, LOCATE, ComPPI, UniProt, Phobius, GO_Intercell	FALSE	NA
ACAA2	18	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	FALSE	NA
ACACA	17	protein	intracellular, receptor	intracellular, receptor	3	FALSE	OmniPath, UniProt, LOCATE, scConnect, ComPPI, GO_Intercell	FALSE	NA
ACACB	12	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, receptor	3	TRUE	OmniPath, GO_Intercell, UniProt, ComPPI, scConnect, LOCATE, TopDB	FALSE	NA
ACAD10	12	protein	transmembrane, intracellular	transmembrane_predicted, intracellular	2	TRUE	Phobius, ComPPI, GO_Intercell, OmniPath	FALSE	NA
ACAD11	3	protein	intracellular	intracellular	3	FALSE	UniProt, ComPPI, OmniPath, LOCATE, GO_Intercell	FALSE	NA
ACAD8	11	protein	intracellular	intracellular	3	FALSE	LOCATE, UniProt, OmniPath, GO_Intercell, ComPPI	FALSE	NA
ACAD9	3	protein	intracellular	intracellular	3	FALSE	LOCATE, ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
ACADL	2	protein	intracellular	intracellular	3	FALSE	OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ACADM	1	protein	intracellular	intracellular	3	FALSE	UniProt, LOCATE, GO_Intercell, ComPPI, OmniPath	FALSE	NA
ACADS	12	protein	intracellular	intracellular	3	FALSE	LOCATE, UniProt, OmniPath, GO_Intercell, ComPPI	FALSE	NA
ACADSB	10	protein	intracellular	intracellular	3	FALSE	LOCATE, OmniPath, UniProt, GO_Intercell, ComPPI	FALSE	NA
ACADVL	17	protein	intracellular	intracellular	3	FALSE	UniProt, OmniPath, ComPPI, GO_Intercell	FALSE	NA
ACAN	15	protein	intracellular, matrix_adhesion, proteoglycan, secreted, extracellular, ecm, plasma_membrane, hyalectan_proteoglycan, adhesion	intracellular, matrix_adhesion, ecm, secreted, extracellular, plasma_membrane, adhesion	4	TRUE	GO_Intercell, Cellinker, Matrisome, OmniPath, MatrixDB, UniProt, HGNC, CellCellInteractions, LOCATE	FALSE	NA
ACAP1	17	protein	intracellular	intracellular	3	FALSE	GO_Intercell, ComPPI, UniProt, OmniPath	FALSE	NA
ACAP2	3	protein	intracellular	intracellular	3	FALSE	ComPPI, GO_Intercell, OmniPath, UniProt	FALSE	NA
ACAP3	1	protein	intracellular	intracellular	2	FALSE	ComPPI, OmniPath, GO_Intercell	FALSE	NA
ACAT1	11	protein	intracellular, receptor	intracellular, receptor	3	FALSE	UniProt, ComPPI, scConnect, OmniPath, GO_Intercell	FALSE	NA
