mouse_gene_symbol	mouse_chromosome	human_gene_symbol	human_chromosome	human_gene_symbol_unique	human_chromosome_unique	entity_type	category	parent	consensus_score	database_cs	database_tf
1700020L24Rik	11	C17orf50	17	C17orf50	17	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1700021F07Rik	2	C20orf85	20	C20orf85	20	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1700022I11Rik	4	C9orf131	9	C9orf131	9	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1700025G04Rik	1	C1orf21	1	C1orf21	1	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1700029I15Rik	2	C11orf94	11	C11orf94	11	protein	transmembrane, intracellular, secreted	transmembrane, intracellular, secreted	3	OmniPath, UniProt, GO_Intercell, HPA_secretome	NA
1700029J07Rik	8	C4orf47	4	C4orf47	4	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, UniProt	NA
1700030J22Rik	8	C16orf46	16	C16orf46	16	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
1700030K09Rik	8	C19orf44	19	C19orf44	19	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1700037H04Rik	2	C20orf27	20	C20orf27	20	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
1700040F15Rik	Y	SYCP3	12	SYCP3	12	protein	intracellular	intracellular	3	LOCATE, ComPPI, UniProt, GO_Intercell, OmniPath	NA
1700057G04Rik	9	PLSCR1	3	PLSCR1	3	protein	intracellular, plasma_membrane, transmembrane, cell_surface, ecm	intracellular, plasma_membrane, transmembrane, cell_surface, ecm	3	ComPPI, UniProt, OmniPath, CellCellInteractions, connectomeDB2020, GO_Intercell	NA
1700066B19Rik	18	SMIM33	5	SMIM33	5	protein	transmembrane	transmembrane, transmembrane_predicted	3	UniProt, Phobius, OmniPath	NA
1700066M21Rik	1	C2orf69	2	C2orf69	2	protein	secreted, intracellular	secreted, intracellular	2	OmniPath, HPA_secretome, GO_Intercell, UniProt	NA
1700088E04Rik	15	C22orf23	22	C22orf23	22	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1700093K21Rik	11	C2orf74	2	C2orf74	2	protein	transmembrane, intracellular	transmembrane_predicted, transmembrane, intracellular	4	Phobius, UniProt, OmniPath, ComPPI, Ramilowski_location	NA
1700102P08Rik	9	C3orf62	3	C3orf62	3	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
1700123L14Rik	6	NUP50	22	NUP50	22	protein	intracellular	intracellular	3	UniProt, LOCATE, GO_Intercell, ComPPI, OmniPath	NA
1700123O20Rik	14	C14orf119	14	C14orf119	14	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
1810010H24Rik	11	C17orf58	17	C17orf58	17	protein	ecm_regulator	ecm_regulator	1	Matrisome, OmniPath	NA
1810030O07Rik	X	CXorf38	X	CXorf38	X	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
1810037I17Rik	3	C4orf3	4	C4orf3	4	protein	transmembrane, transmembrane_tmhmm, intracellular, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	transmembrane, transmembrane_predicted, intracellular	5	UniProt, Almen2009, OmniPath, Phobius, Ramilowski_location, GO_Intercell	NA
1810055G02Rik	19	C11orf24	11	C11orf24	11	protein	plasma_membrane_transmembrane, transmembrane, transmembrane_tmhmm, transmembrane_predicted, cell_surface, plasma_membrane, transmembrane_sosui, intracellular, transmembrane_phobius	plasma_membrane_transmembrane, transmembrane, transmembrane_predicted, cell_surface, plasma_membrane, intracellular	6	OmniPath, UniProt, Membranome, Almen2009, TopDB, CSPA, Surfaceome, Phobius, Ramilowski_location, GO_Intercell	NA
1810058I24Rik	6	STMP1	7	STMP1	7	protein	intracellular, transmembrane	intracellular, transmembrane	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
2210016F16Rik	13	C9orf64	9	C9orf64	9	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
2210408I21Rik	13	KIAA0825	5	KIAA0825	5	protein	transmembrane, intracellular	transmembrane, intracellular	1	Ramilowski_location, ComPPI, OmniPath	NA
2300002M23Rik	17	C6orf15	6	C6orf15	6	protein	secreted, ligand, ecm, intracellular	secreted, ligand, ecm, intracellular	3	UniProt, OmniPath, HPA_secretome, CellCellInteractions, ComPPI, MatrixDB, iTALK	NA
2300009A05Rik	9	C15orf61	15	C15orf61	15	protein	secreted, intracellular	secreted, intracellular	3	HPA_secretome, OmniPath, UniProt, ComPPI	NA
2310011J03Rik	10	C19orf25	19	C19orf25	19	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
2310022A10Rik	7	C19orf47	19	C19orf47	19	protein	intracellular	intracellular	2	GO_Intercell, OmniPath, ComPPI	NA
2310022B05Rik	8	C1orf198	1	C1orf198	1	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
2310030G06Rik	9	C11orf52	11	C11orf52	11	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2310034G01Rik	19	C10orf95	10	C10orf95	10	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2310039H08Rik	17	C6orf226	6	C6orf226	6	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
2310061I04Rik	17	C6orf136	6	C6orf136	6	protein	transmembrane, intracellular	transmembrane_predicted, intracellular, transmembrane	1	Phobius, OmniPath, Ramilowski_location, ComPPI	NA
2410004B18Rik	3	C1orf52	1	C1orf52	1	protein	intracellular	intracellular	2	OmniPath, ComPPI, GO_Intercell	NA
2510002D24Rik	16	C22orf39	22	C22orf39	22	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2510009E07Rik	16	C3orf70	3	C3orf70	3	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2510039O18Rik	4	KIAA2013	1	KIAA2013	1	protein	transmembrane, intracellular, transmembrane_tmhmm, transmembrane_phobius, transmembrane_predicted, plasma_membrane_transmembrane, transmembrane_sosui	transmembrane, intracellular, transmembrane_predicted, plasma_membrane_transmembrane	6	TopDB, UniProt, Ramilowski_location, ComPPI, Almen2009, Phobius, OmniPath, Membranome	NA
2610001J05Rik	6	SMIM30	7	SMIM30	7	protein	transmembrane	transmembrane, transmembrane_predicted	3	OmniPath, UniProt, Phobius	NA
2610021A01Rik	7	ZNF519	18	ZNF519	18	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
2610028H24Rik	10	C21orf58	21	C21orf58	21	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2610301B20Rik	4	CFAP418	8	CFAP418	8	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
2610528J11Rik	4	C1orf210	1	C1orf210	1	protein	plasma_membrane, intracellular, transmembrane_predicted, transmembrane_sosui, transmembrane, transmembrane_phobius, transmembrane_tmhmm	plasma_membrane, intracellular, transmembrane, transmembrane_predicted	5	OmniPath, GO_Intercell, Almen2009, UniProt, Ramilowski_location, Phobius	NA
2700049A03Rik	12	KIAA0586	14	KIAA0586	14	protein	intracellular	intracellular	3	GO_Intercell, UniProt, ComPPI, OmniPath	NA
2700062C07Rik	18	C18orf21	18	C18orf21	18	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2810004N23Rik	8	C1orf131	1	C1orf131	1	protein	intracellular	intracellular	3	UniProt, GO_Intercell, ComPPI, OmniPath	NA
2810459M11Rik	1	C2orf72	2	C2orf72	2	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2900026A02Rik	5	KIAA1671	22	KIAA1671	22	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
2900092C05Rik	7	C19orf18	19	C19orf18	19	protein	plasma_membrane_transmembrane, transmembrane_tmhmm, transmembrane, transmembrane_phobius, cell_surface, transmembrane_predicted	plasma_membrane_transmembrane, transmembrane_predicted, transmembrane, cell_surface	5	OmniPath, Almen2009, Membranome, Ramilowski_location, UniProt, Surfaceome, Phobius	NA
3110040N11Rik	7	C15orf40	15	C15orf40	15	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
3110082I17Rik	5	C7orf50	7	C7orf50	7	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
3830403N18Rik	X	SYCP3	12	SYCP3	12	protein	intracellular	intracellular	3	LOCATE, ComPPI, UniProt, GO_Intercell, OmniPath	NA
3830406C13Rik	14	C3orf14	3	C3orf14	3	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
4833420G17Rik	13	C5orf34	5	C5orf34	5	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
4833439L19Rik	13	KIAA1191	5	KIAA1191	5	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, GO_Intercell	NA
4921504E06Rik	2	C10orf67	10	C10orf67	10	protein	intracellular	intracellular	2	UniProt, GO_Intercell, OmniPath	NA
4921507P07Rik	6	C7orf31	7	C7orf31	7	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
4921524J17Rik	8	C16orf87	16	C16orf87	16	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
4930415L06Rik	X	PPP4R3C	X	PPP4R3C	X	protein	intracellular	intracellular	1	GO_Intercell, OmniPath	NA
4930453N24Rik	16	C3orf38	3	C3orf38	3	protein	intracellular	intracellular	2	GO_Intercell, ComPPI, OmniPath	NA
4930505A04Rik	11	C2orf73	2	C2orf73	2	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
4930522H14Rik	4	C1orf185	1	C1orf185	1	protein	transmembrane_phobius, transmembrane_predicted, transmembrane, transmembrane_sosui, transmembrane_tmhmm	transmembrane_predicted, transmembrane	5	Almen2009, OmniPath, UniProt, Ramilowski_location, Phobius	NA
4930523C07Rik	1	KIAA0040	1	KIAA0040	1	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	4	OmniPath, Ramilowski_location, Phobius, UniProt, ComPPI	NA
4930558C23Rik	3	CTXND2	1	CTXND2	1	protein	transmembrane	transmembrane_predicted, transmembrane	3	Phobius, UniProt, OmniPath	NA
4930558K02Rik	1	C1orf105	1	C1orf105	1	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
4930578I06Rik	14	C8orf74	8	C8orf74	8	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
4930579F01Rik	3	C4orf17	4	C4orf17	4	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
4930579G24Rik	3	C4orf46	4	C4orf46	4	protein	intracellular	intracellular	3	GO_Intercell, UniProt, OmniPath, ComPPI	NA
4930590J08Rik	6	C3orf20	3	C3orf20	3	protein	transmembrane, intracellular	transmembrane, intracellular	4	OmniPath, UniProt, ComPPI, Ramilowski_location, GO_Intercell	NA
4931406B18Rik	7	SIGLECL1	19	SIGLECL1	19	protein	ig_like, transmembrane, adhesion, cell_adhesion, transmembrane_tmhmm, plasma_membrane_transmembrane, cell_surface, transmembrane_phobius, transmembrane_predicted	cell_adhesion, transmembrane, adhesion, transmembrane_predicted, plasma_membrane_transmembrane, cell_surface	5	HGNC, Ramilowski_location, UniProt, Phobius, Almen2009, OmniPath, Surfaceome, Membranome	NA
4931406C07Rik	9	C11orf54	11	C11orf54	11	protein	intracellular	intracellular	3	OmniPath, UniProt, LOCATE, GO_Intercell, ComPPI	NA
4931414P19Rik	14	C14orf93	14	C14orf93	14	protein	secreted, intracellular	secreted, intracellular	3	UniProt, HPA_secretome, ComPPI, OmniPath	NA
4931417E11Rik	6	JKAMP	14	JKAMP	14	protein	intracellular, transmembrane	intracellular, transmembrane, transmembrane_predicted	5	ComPPI, Ramilowski_location, UniProt, OmniPath, GO_Intercell, Phobius, LOCATE	NA
4931428L18Rik	1	ALYREF	17	ALYREF	17	protein	intracellular	intracellular	3	UniProt, OmniPath, GO_Intercell, ComPPI, LOCATE	NA
4932411N23Rik	X	DMTF1	7	DMTF1	7	protein	intracellular	intracellular	3	OmniPath, UniProt, ComPPI, GO_Intercell	NA
4932415D10Rik	10	C2orf16	2	C2orf16	2	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	NA
4932429P05Rik	X	PPP4R3C	X	PPP4R3C	X	protein	intracellular	intracellular	1	GO_Intercell, OmniPath	NA
4932438H23Rik	16	C21orf62	21	C21orf62	21	protein	secreted	secreted	1	HPA_secretome, OmniPath	NA
4933400A11Rik	X	CAPZA1	1	CAPZA1	1	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, LOCATE, GO_Intercell	NA
4933402J07Rik	8	C16orf78	16	C16orf78	16	protein	intracellular	intracellular	2	OmniPath, GO_Intercell, ComPPI	NA
4933402N03Rik	7	C10orf120	10	C10orf120	10	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
4933411K16Rik	19	C10orf62	10	C10orf62	10	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
4933424G06Rik	1	C2orf92	2	C2orf92	2	protein	transmembrane	transmembrane, transmembrane_predicted	3	UniProt, OmniPath, Phobius	NA
4933427D14Rik	11	KIAA0753	17	KIAA0753	17	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, GO_Intercell	NA
4933430I17Rik	4	C9orf43	9	C9orf43	9	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
4933434E20Rik	3	C1orf43	1	C1orf43	1	protein	transmembrane_tmhmm, transmembrane, intracellular, transmembrane_predicted, transmembrane_sosui, transmembrane_phobius	transmembrane_predicted, transmembrane, intracellular	5	Almen2009, OmniPath, UniProt, GO_Intercell, ComPPI, Phobius, Ramilowski_location	NA
5031439G07Rik	15	KIAA0930	22	KIAA0930	22	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
5730409E04Rik	4	C1orf216	1	C1orf216	1	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
5730455P16Rik	11	C17orf75	17	C17orf75	17	protein	intracellular	intracellular	3	GO_Intercell, OmniPath, ComPPI, UniProt	NA
5730480H06Rik	5	PACRGL	4	PACRGL	4	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
6030458C11Rik	15	C5orf22	5	C5orf22	5	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
6030468B19Rik	11	C17orf99	17	C17orf99	17	protein	transmembrane, secreted, ligand	transmembrane, secreted, ligand	3	OmniPath, GO_Intercell, HPA_secretome, UniProt	NA
6430548M08Rik	8	KIAA0513	16	KIAA0513	16	protein	intracellular	intracellular	3	UniProt, ComPPI, OmniPath, GO_Intercell	NA
6430550D23Rik	2	C20orf173	20	C20orf173	20	protein	transmembrane_phobius, intracellular, transmembrane, transmembrane_tmhmm, transmembrane_sosui, transmembrane_predicted	transmembrane_predicted, intracellular, transmembrane	3	Almen2009, ComPPI, OmniPath	NA
6430571L13Rik	9	C3orf18	3	C3orf18	3	protein	transmembrane, transmembrane_predicted, transmembrane_phobius, transmembrane_tmhmm, transmembrane_sosui	transmembrane, transmembrane_predicted	5	UniProt, Phobius, OmniPath, Almen2009, Ramilowski_location	NA
6430628N08Rik	4	TMEM275	1	TMEM275	1	protein	transmembrane	transmembrane, transmembrane_predicted	3	UniProt, Phobius, OmniPath	NA
6820408C15Rik	2	C20orf96	20	C20orf96	20	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
7420426K07Rik	9	PRR23B	3	PRR23B	3	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
8030462N17Rik	18	C18orf25	18	C18orf25	18	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
9030025P20Rik	17	ERMARD	6	ERMARD	6	protein	transmembrane, intracellular, transmembrane_predicted, transmembrane_tmhmm	transmembrane, transmembrane_predicted, intracellular	5	UniProt, Phobius, ComPPI, OmniPath, Ramilowski_location, GO_Intercell, Almen2009	NA
9130008F23Rik	17	C6orf141	6	C6orf141	6	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
9130401M01Rik	15	C8orf76	8	C8orf76	8	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
9130409I23Rik	1	DEGS1	1	DEGS1	1	protein	intracellular, transmembrane, receptor	intracellular, transmembrane, receptor, transmembrane_predicted	4	GO_Intercell, ComPPI, OmniPath, UniProt, Ramilowski_location, scConnect, Phobius	NA
9330159F19Rik	10	KIAA0408	6	KIAA0408	6	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
9430015G10Rik	4	C1orf159	1	C1orf159	1	protein	transmembrane, plasma_membrane_transmembrane, intracellular, transmembrane_sosui, transmembrane_predicted, transmembrane_tmhmm, transmembrane_phobius, cell_surface	transmembrane, plasma_membrane_transmembrane, intracellular, transmembrane_predicted, cell_surface	5	Ramilowski_location, OmniPath, UniProt, Almen2009, Phobius, ComPPI, CSPA, Surfaceome	NA
9530003J23Rik	10	LYZ	12	LYZ	12	protein	intracellular, extracellular, lysozym, secreted	intracellular, extracellular, secreted_enyzme, secreted	3	ComPPI, OmniPath, HGNC, LOCATE, UniProt, HPA_secretome, GO_Intercell	NA
9930012K11Rik	14	C8orf58	8	C8orf58	8	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
9930021J03Rik	19	KIAA2026	9	KIAA2026	9	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
9930104L06Rik	4	C1orf109	1	C1orf109	1	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, OmniPath, UniProt	NA
a	2	ASIP	20	ASIP	20	protein	intracellular, secreted, extracellular	intracellular, secreted, extracellular	5	ComPPI, OmniPath, UniProt, Cellinker, HPA_secretome, HPMR, connectomeDB2020	NA
A130010J15Rik	1	C1orf74	1	C1orf74	1	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
A1bg	15	A1BG	19	A1BG	19	protein	secreted, intracellular, receptor, extracellular	secreted, intracellular, receptor, extracellular	3	UniProt, OmniPath, GO_Intercell, CellTalkDB, LOCATE, ComPPI, HPA_secretome	NA
A1cf	19	A1CF	10	A1CF	10	protein	intracellular	intracellular	3	ComPPI, LOCATE, UniProt, GO_Intercell, OmniPath	NA
A2m	6	A2M	12	A2M	12	protein	secreted, extracellular, ecm_regulator, growth_factor_binder, intracellular, ligand_regulator	secreted, extracellular, ecm_regulator, ligand_regulator, intracellular	5	UniProt, LOCATE, OmniPath, Baccin2019, Matrisome, GO_Intercell, HPA_secretome, connectomeDB2020	NA
A3galt2	4	A3GALT2	1	A3GALT2	1	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	3	UniProt, GO_Intercell, OmniPath, Phobius	NA
A430005L14Rik	4	C1orf174	1	C1orf174	1	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, UniProt	NA
A4galt	15	A4GALT	22	A4GALT	22	protein	transmembrane, transmembrane_predicted, intracellular, transmembrane_phobius, transmembrane_sosui, transmembrane_tmhmm	transmembrane, transmembrane_predicted, intracellular	6	LOCATE, Phobius, UniProt, OmniPath, Ramilowski_location, GO_Intercell, Almen2009, ComPPI	NA
A4gnt	9	A4GNT	3	A4GNT	3	protein	transmembrane, intracellular	transmembrane, intracellular	5	Ramilowski_location, UniProt, GO_Intercell, OmniPath, LOCATE	NA
A730046J19Rik	X	SERTM2	X	SERTM2	X	protein	transmembrane, intracellular	transmembrane, intracellular, transmembrane_predicted	3	UniProt, GO_Intercell, Phobius, OmniPath	NA
A830018L16Rik	1	C8orf34	8	C8orf34	8	protein	intracellular	intracellular	1	ComPPI, OmniPath	NA
A930017K11Rik	17	PRR35	16	PRR35	16	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Aaas	15	AAAS	12	AAAS	12	protein	intracellular, transmembrane	intracellular, transmembrane	3	UniProt, ComPPI, Ramilowski_location, OmniPath, GO_Intercell	NA
Aacs	5	AACS	12	AACS	12	protein	intracellular, transmembrane	intracellular, transmembrane_predicted	3	UniProt, GO_Intercell, OmniPath, Phobius, ComPPI	NA
Aadac	3	AADAC	3	AADAC	3	protein	transmembrane, transmembrane_tmhmm, intracellular, transmembrane_predicted	transmembrane, transmembrane_predicted, intracellular	7	OmniPath, Almen2009, UniProt, Phobius, LOCATE, TopDB, ComPPI, Ramilowski_location, GO_Intercell	NA
Aadacl2	3	AADACL2	3	AADACL2	3	protein	transmembrane, secreted	transmembrane, secreted	3	OmniPath, HPA_secretome, UniProt, Ramilowski_location	NA
Aadacl3	4	AADACL3	1	AADACL3	1	protein	transmembrane	transmembrane_predicted, transmembrane	1	Phobius, Ramilowski_location, OmniPath	NA
Aadacl4	4	AADACL4	1	AADACL4	1	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Almen2009, Phobius	NA
Aadacl4fm1	4	AADACL4	1	AADACL4	1	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Almen2009, Phobius	NA
AAdacl4fm3	4	AADACL4	1	AADACL4	1	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Almen2009, Phobius	NA
Aadacl4fm4	4	AADACL4	1	AADACL4	1	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Almen2009, Phobius	NA
Aadacl4fm5	4	AADACL4	1	AADACL4	1	protein	transmembrane_predicted, transmembrane, transmembrane_tmhmm	transmembrane, transmembrane_predicted	4	OmniPath, UniProt, Almen2009, Phobius	NA
Aadat	8	AADAT	4	AADAT	4	protein	intracellular	intracellular	3	LOCATE, OmniPath, ComPPI, GO_Intercell, UniProt	NA
Aagab	9	AAGAB	15	AAGAB	15	protein	intracellular	intracellular	3	UniProt, OmniPath, ComPPI, LOCATE, GO_Intercell	NA
Aak1	6	AAK1	2	AAK1	2	protein	intracellular, plasma_membrane, receptor	intracellular, plasma_membrane, receptor	2	GO_Intercell, OmniPath, LOCATE, scConnect, UniProt, ComPPI	NA
Aamdc	7	AAMDC	11	AAMDC	11	protein	intracellular	intracellular	3	UniProt, GO_Intercell, OmniPath, ComPPI	NA
Aamp	1	AAMP	2	AAMP	2	protein	intracellular, plasma_membrane	intracellular, plasma_membrane	3	OmniPath, UniProt, GO_Intercell, ComPPI	NA
Aanat	11	AANAT	17	AANAT	17	protein	intracellular, extracellular, secreted	intracellular, extracellular, secreted	3	OmniPath, UniProt, GO_Intercell, HPMR, ComPPI, connectomeDB2020	NA
Aar2	2	AAR2	20	AAR2	20	protein	intracellular	intracellular	2	OmniPath, ComPPI, GO_Intercell	NA
Aard	15	AARD	8	AARD	8	protein	intracellular	intracellular	1	OmniPath, ComPPI	NA
Aars	8	AARS1	16	AARS1	16	protein	intracellular	intracellular	3	LOCATE, GO_Intercell, OmniPath, ComPPI, UniProt	NA
Aars2	17	AARS2	6	AARS2	6	protein	intracellular	intracellular	3	OmniPath, GO_Intercell, ComPPI, UniProt	NA
Aarsd1	11	AARSD1	17	AARSD1	17	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, GO_Intercell	NA
Aasdh	5	AASDH	4	AASDH	4	protein	transmembrane_phobius, transmembrane, transmembrane_tmhmm, transmembrane_predicted, intracellular, transmembrane_sosui	transmembrane_predicted, transmembrane, intracellular	3	Almen2009, OmniPath, ComPPI	NA
Aasdhppt	9	AASDHPPT	11	AASDHPPT	11	protein	intracellular	intracellular	3	ComPPI, GO_Intercell, OmniPath, LOCATE, UniProt	NA
Aass	6	AASS	7	AASS	7	protein	intracellular	intracellular	3	OmniPath, ComPPI, UniProt, LOCATE, GO_Intercell	NA
Aatf	11	AATF	17	AATF	17	protein	intracellular	intracellular	3	ComPPI, OmniPath, GO_Intercell, LOCATE, UniProt	SIGNOR
Aatk	11	AATK	17	AATK	17	protein	intracellular, transmembrane, transmembrane_sosui, receptor, tyrosine_kinase, transmembrane_predicted, transmembrane_phobius	intracellular, transmembrane, transmembrane_predicted, receptor	5	UniProt, OmniPath, Almen2009, HGNC, Phobius, ComPPI, scConnect, GO_Intercell, Ramilowski_location, SignaLink_function	NA
Abat	16	ABAT	16	ABAT	16	protein	receptor, intracellular	receptor, intracellular	3	OmniPath, UniProt, ComPPI, scConnect, GO_Intercell	NA
Abca1	4	ABCA1	9	ABCA1	9	protein	transmembrane, transporter, plasma_membrane, intracellular, cell_surface_ligand, cell_surface, extracellular, abc, abca, active	transmembrane, transporter, plasma_membrane, intracellular, cell_surface_ligand, cell_surface, extracellular, transmembrane_predicted	7	GO_Intercell, OmniPath, Cellinker, UniProt, TopDB, ComPPI, Baccin2019, DGIdb, Ramilowski_location, Surfaceome, Phobius, CellPhoneDB, connectomeDB2020, LOCATE	NA
